DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1FIPS,ADM1FIPSNA,ADM1SALBNA,ADM1SALBCO,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,dhsid_2,dhscc_2,dhsyear_2,dhsclust_2,ccfips_2,adm1fips_2,adm1fipsna_2,adm1salbna_2,adm1salbco_2,adm1dhs_2,adm1name_2,dhsregco_2,dhsregna_2,source_2,urban_rura_2,latnum_2,longnum_2,alt_gps_2,alt_dem_2,datum_2
CI201200000076,CI,2012.000000,76.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,11.000000,Ville D'Abidjan,GAZ,U,5.336269,-4.083564,9999.000000,48.000000,WGS84,CI201200000076,CI,2012,76,IV,NULL,NULL,NULL,NULL,9999,NULL,11,Ville D'Abidjan,GAZ,U,5.336269,-4.083564,9999,48,WGS84
CI201200000077,CI,2012.000000,77.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,3.000000,Centre-Nord,GPS,R,8.095853,-4.456761,9999.000000,241.000000,WGS84,CI201200000077,CI,2012,77,IV,NULL,NULL,NULL,NULL,9999,NULL,3,Centre-Nord,GPS,R,8.095853,-4.456761,9999,241,WGS84
CI201200000078,CI,2012.000000,78.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,4.000000,Centre-Ouest,GPS,U,6.142045,-5.852592,9999.000000,212.000000,WGS84,CI201200000078,CI,2012,78,IV,NULL,NULL,NULL,NULL,9999,NULL,4,Centre-Ouest,GPS,U,6.142045,-5.852592,9999,212,WGS84
CI201200000079,CI,2012.000000,79.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,1.000000,Centre,GPS,U,6.650154,-4.170074,9999.000000,199.000000,WGS84,CI201200000079,CI,2012,79,IV,NULL,NULL,NULL,NULL,9999,NULL,1,Centre,GPS,U,6.650154,-4.170074,9999,199,WGS84
CI201200000080,CI,2012.000000,80.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,2.000000,Centre-Est,GAZ,U,6.072718,-3.409583,9999.000000,114.000000,WGS84,CI201200000080,CI,2012,80,IV,NULL,NULL,NULL,NULL,9999,NULL,2,Centre-Est,GAZ,U,6.072718,-3.409583,9999,114,WGS84
CI201200000081,CI,2012.000000,81.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,9.000000,Sud sans Abidjan,GPS,U,5.814222,-5.364984,9999.000000,162.000000,WGS84,CI201200000081,CI,2012,81,IV,NULL,NULL,NULL,NULL,9999,NULL,9,Sud sans Abidjan,GPS,U,5.814222,-5.364984,9999,162,WGS84
CI201200000082,CI,2012.000000,82.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,6.000000,Nord-Est,GPS,R,9.667820,-3.085975,9999.000000,339.000000,WGS84,CI201200000082,CI,2012,82,IV,NULL,NULL,NULL,NULL,9999,NULL,6,Nord-Est,GPS,R,9.66782,-3.085975,9999,339,WGS84
CI201200000083,CI,2012.000000,83.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,1.000000,Centre,GPS,U,6.821975,-5.269694,9999.000000,202.000000,WGS84,CI201200000083,CI,2012,83,IV,NULL,NULL,NULL,NULL,9999,NULL,1,Centre,GPS,U,6.821975,-5.269694,9999,202,WGS84
CI201200000084,CI,2012.000000,84.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,7.000000,Nord-Ouest,GPS,U,8.283615,-7.678488,9999.000000,481.000000,WGS84,CI201200000084,CI,2012,84,IV,NULL,NULL,NULL,NULL,9999,NULL,7,Nord-Ouest,GPS,U,8.283615,-7.678488,9999,481,WGS84
CI201200000085,CI,2012.000000,85.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,5.000000,Nord,GPS,R,9.380362,-5.680655,9999.000000,372.000000,WGS84,CI201200000085,CI,2012,85,IV,NULL,NULL,NULL,NULL,9999,NULL,5,Nord,GPS,R,9.380362,-5.680655,9999,372,WGS84
CI201200000086,CI,2012.000000,86.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,2.000000,Centre-Est,GPS,U,7.134544,-3.198646,9999.000000,239.000000,WGS84,CI201200000086,CI,2012,86,IV,NULL,NULL,NULL,NULL,9999,NULL,2,Centre-Est,GPS,U,7.134544,-3.198646,9999,239,WGS84
CI201200000087,CI,2012.000000,87.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,6.000000,Nord-Est,GPS,R,7.969318,-2.977894,9999.000000,289.000000,WGS84,CI201200000087,CI,2012,87,IV,NULL,NULL,NULL,NULL,9999,NULL,6,Nord-Est,GPS,R,7.969318,-2.977894,9999,289,WGS84
CI201200000088,CI,2012.000000,88.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,1.000000,Centre,GPS,R,6.637517,-4.296798,9999.000000,163.000000,WGS84,CI201200000088,CI,2012,88,IV,NULL,NULL,NULL,NULL,9999,NULL,1,Centre,GPS,R,6.637517,-4.296798,9999,163,WGS84
CI201200000089,CI,2012.000000,89.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,4.000000,Centre-Ouest,GPS,R,6.825132,-5.540191,9999.000000,156.000000,WGS84,CI201200000089,CI,2012,89,IV,NULL,NULL,NULL,NULL,9999,NULL,4,Centre-Ouest,GPS,R,6.825132,-5.540191,9999,156,WGS84
CI201200000090,CI,2012.000000,90.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,2.000000,Centre-Est,GPS,R,6.362925,-3.373293,9999.000000,115.000000,WGS84,CI201200000090,CI,2012,90,IV,NULL,NULL,NULL,NULL,9999,NULL,2,Centre-Est,GPS,R,6.362925,-3.373293,9999,115,WGS84
CI201200000091,CI,2012.000000,91.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,3.000000,Centre-Nord,GPS,U,7.801044,-4.979537,9999.000000,281.000000,WGS84,CI201200000091,CI,2012,91,IV,NULL,NULL,NULL,NULL,9999,NULL,3,Centre-Nord,GPS,U,7.801044,-4.979537,9999,281,WGS84
CI201200000092,CI,2012.000000,92.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,8.000000,Ouest,GPS,R,6.962653,-8.248008,9999.000000,250.000000,WGS84,CI201200000092,CI,2012,92,IV,NULL,NULL,NULL,NULL,9999,NULL,8,Ouest,GPS,R,6.962653,-8.248008,9999,250,WGS84
CI201200000093,CI,2012.000000,93.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,11.000000,Ville D'Abidjan,GPS,U,5.336272,-4.015727,9999.000000,27.000000,WGS84,CI201200000093,CI,2012,93,IV,NULL,NULL,NULL,NULL,9999,NULL,11,Ville D'Abidjan,GPS,U,5.336272,-4.015727,9999,27,WGS84
CI201200000094,CI,2012.000000,94.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,10.000000,Sud-Ouest,GPS,R,4.954372,-7.034961,9999.000000,144.000000,WGS84,CI201200000094,CI,2012,94,IV,NULL,NULL,NULL,NULL,9999,NULL,10,Sud-Ouest,GPS,R,4.954372,-7.034961,9999,144,WGS84
CI201200000095,CI,2012.000000,95.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,7.000000,Nord-Ouest,GPS,R,8.066473,-6.159750,9999.000000,344.000000,WGS84,CI201200000095,CI,2012,95,IV,NULL,NULL,NULL,NULL,9999,NULL,7,Nord-Ouest,GPS,R,8.066473,-6.15975,9999,344,WGS84
CI201200000096,CI,2012.000000,96.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,4.000000,Centre-Ouest,GPS,R,6.559061,-5.788218,9999.000000,249.000000,WGS84,CI201200000096,CI,2012,96,IV,NULL,NULL,NULL,NULL,9999,NULL,4,Centre-Ouest,GPS,R,6.559061,-5.788218,9999,249,WGS84
CI201200000097,CI,2012.000000,97.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,11.000000,Ville D'Abidjan,GPS,U,5.379520,-4.072478,9999.000000,74.000000,WGS84,CI201200000097,CI,2012,97,IV,NULL,NULL,NULL,NULL,9999,NULL,11,Ville D'Abidjan,GPS,U,5.37952,-4.072478,9999,74,WGS84
CI201200000098,CI,2012.000000,98.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,1.000000,Centre,GPS,U,6.806986,-5.265114,9999.000000,210.000000,WGS84,CI201200000098,CI,2012,98,IV,NULL,NULL,NULL,NULL,9999,NULL,1,Centre,GPS,U,6.806986,-5.265114,9999,210,WGS84
CI201200000099,CI,2012.000000,99.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,2.000000,Centre-Est,GPS,R,7.095740,-3.145705,9999.000000,215.000000,WGS84,CI201200000099,CI,2012,99,IV,NULL,NULL,NULL,NULL,9999,NULL,2,Centre-Est,GPS,R,7.09574,-3.145705,9999,215,WGS84
CI201200000100,CI,2012.000000,100.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,4.000000,Centre-Ouest,GPS,R,6.685151,-6.488674,9999.000000,224.000000,WGS84,CI201200000100,CI,2012,100,IV,NULL,NULL,NULL,NULL,9999,NULL,4,Centre-Ouest,GPS,R,6.685151,-6.488674,9999,224,WGS84
CI201200000101,CI,2012.000000,101.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,3.000000,Centre-Nord,GPS,R,9.308593,-5.248729,9999.000000,357.000000,WGS84,CI201200000101,CI,2012,101,IV,NULL,NULL,NULL,NULL,9999,NULL,3,Centre-Nord,GPS,R,9.308593,-5.248729,9999,357,WGS84
CI201200000102,CI,2012.000000,102.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,11.000000,Ville D'Abidjan,GPS,U,5.346215,-4.107622,9999.000000,66.000000,WGS84,CI201200000102,CI,2012,102,IV,NULL,NULL,NULL,NULL,9999,NULL,11,Ville D'Abidjan,GPS,U,5.346215,-4.107622,9999,66,WGS84
CI201200000103,CI,2012.000000,103.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,10.000000,Sud-Ouest,GPS,R,6.164881,-6.852486,9999.000000,194.000000,WGS84,CI201200000103,CI,2012,103,IV,NULL,NULL,NULL,NULL,9999,NULL,10,Sud-Ouest,GPS,R,6.164881,-6.852486,9999,194,WGS84
CI201200000104,CI,2012.000000,104.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,10.000000,Sud-Ouest,GPS,R,4.765075,-7.500837,9999.000000,74.000000,WGS84,CI201200000104,CI,2012,104,IV,NULL,NULL,NULL,NULL,9999,NULL,10,Sud-Ouest,GPS,R,4.765075,-7.500837,9999,74,WGS84
CI201200000105,CI,2012.000000,105.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,5.000000,Nord,GPS,U,9.953257,-5.155280,9999.000000,321.000000,WGS84,CI201200000105,CI,2012,105,IV,NULL,NULL,NULL,NULL,9999,NULL,5,Nord,GPS,U,9.953257,-5.15528,9999,321,WGS84
CI201200000106,CI,2012.000000,106.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,7.000000,Nord-Ouest,GPS,R,8.465508,-6.190066,9999.000000,399.000000,WGS84,CI201200000106,CI,2012,106,IV,NULL,NULL,NULL,NULL,9999,NULL,7,Nord-Ouest,GPS,R,8.465508,-6.190066,9999,399,WGS84
CI201200000107,CI,2012.000000,107.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,10.000000,Sud-Ouest,GPS,R,5.943022,-6.335982,9999.000000,180.000000,WGS84,CI201200000107,CI,2012,107,IV,NULL,NULL,NULL,NULL,9999,NULL,10,Sud-Ouest,GPS,R,5.943022,-6.335982,9999,180,WGS84
CI201200000108,CI,2012.000000,108.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,3.000000,Centre-Nord,GAZ,U,7.705667,-5.020433,9999.000000,353.000000,WGS84,CI201200000108,CI,2012,108,IV,NULL,NULL,NULL,NULL,9999,NULL,3,Centre-Nord,GAZ,U,7.705667,-5.020433,9999,353,WGS84
CI201200000109,CI,2012.000000,109.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,6.000000,Nord-Est,GPS,R,8.296590,-3.931402,9999.000000,203.000000,WGS84,CI201200000109,CI,2012,109,IV,NULL,NULL,NULL,NULL,9999,NULL,6,Nord-Est,GPS,R,8.29659,-3.931402,9999,203,WGS84
CI201200000110,CI,2012.000000,110.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,9.000000,Sud sans Abidjan,GPS,U,5.682848,-4.568689,9999.000000,90.000000,WGS84,CI201200000110,CI,2012,110,IV,NULL,NULL,NULL,NULL,9999,NULL,9,Sud sans Abidjan,GPS,U,5.682848,-4.568689,9999,90,WGS84
CI201200000111,CI,2012.000000,111.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,10.000000,Sud-Ouest,GPS,R,4.679129,-7.117418,9999.000000,27.000000,WGS84,CI201200000111,CI,2012,111,IV,NULL,NULL,NULL,NULL,9999,NULL,10,Sud-Ouest,GPS,R,4.679129,-7.117418,9999,27,WGS84
CI201200000112,CI,2012.000000,112.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,3.000000,Centre-Nord,GPS,U,7.676075,-5.001397,9999.000000,352.000000,WGS84,CI201200000112,CI,2012,112,IV,NULL,NULL,NULL,NULL,9999,NULL,3,Centre-Nord,GPS,U,7.676075,-5.001397,9999,352,WGS84
CI201200000113,CI,2012.000000,113.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,8.000000,Ouest,GPS,U,7.740542,-7.635191,9999.000000,515.000000,WGS84,CI201200000113,CI,2012,113,IV,NULL,NULL,NULL,NULL,9999,NULL,8,Ouest,GPS,U,7.740542,-7.635191,9999,515,WGS84
CI201200000114,CI,2012.000000,114.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,11.000000,Ville D'Abidjan,GPS,U,5.332830,-4.078723,9999.000000,43.000000,WGS84,CI201200000114,CI,2012,114,IV,NULL,NULL,NULL,NULL,9999,NULL,11,Ville D'Abidjan,GPS,U,5.33283,-4.078723,9999,43,WGS84
CI201200000115,CI,2012.000000,115.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,2.000000,Centre-Est,GPS,R,6.145133,-3.383995,9999.000000,105.000000,WGS84,CI201200000115,CI,2012,115,IV,NULL,NULL,NULL,NULL,9999,NULL,2,Centre-Est,GPS,R,6.145133,-3.383995,9999,105,WGS84
CI201200000116,CI,2012.000000,116.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,11.000000,Ville D'Abidjan,GPS,U,5.310639,-3.932723,9999.000000,7.000000,WGS84,CI201200000116,CI,2012,116,IV,NULL,NULL,NULL,NULL,9999,NULL,11,Ville D'Abidjan,GPS,U,5.310639,-3.932723,9999,7,WGS84
CI201200000117,CI,2012.000000,117.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,8.000000,Ouest,GPS,R,7.546580,-7.214760,9999.000000,300.000000,WGS84,CI201200000117,CI,2012,117,IV,NULL,NULL,NULL,NULL,9999,NULL,8,Ouest,GPS,R,7.54658,-7.21476,9999,300,WGS84
CI201200000118,CI,2012.000000,118.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,5.000000,Nord,GPS,R,9.509688,-6.067000,9999.000000,363.000000,WGS84,CI201200000118,CI,2012,118,IV,NULL,NULL,NULL,NULL,9999,NULL,5,Nord,GPS,R,9.509688,-6.067,9999,363,WGS84
CI201200000119,CI,2012.000000,119.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,10.000000,Sud-Ouest,GPS,R,4.897206,-7.482269,9999.000000,75.000000,WGS84,CI201200000119,CI,2012,119,IV,NULL,NULL,NULL,NULL,9999,NULL,10,Sud-Ouest,GPS,R,4.897206,-7.482269,9999,75,WGS84
CI201200000120,CI,2012.000000,120.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,5.000000,Nord,GPS,R,10.388346,-5.724522,9999.000000,352.000000,WGS84,CI201200000120,CI,2012,120,IV,NULL,NULL,NULL,NULL,9999,NULL,5,Nord,GPS,R,10.388346,-5.724522,9999,352,WGS84
CI201200000121,CI,2012.000000,121.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,10.000000,Sud-Ouest,GPS,U,4.770069,-6.657807,9999.000000,9.000000,WGS84,CI201200000121,CI,2012,121,IV,NULL,NULL,NULL,NULL,9999,NULL,10,Sud-Ouest,GPS,U,4.770069,-6.657807,9999,9,WGS84
CI201200000122,CI,2012.000000,122.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,4.000000,Centre-Ouest,GPS,R,5.797293,-5.992836,9999.000000,220.000000,WGS84,CI201200000122,CI,2012,122,IV,NULL,NULL,NULL,NULL,9999,NULL,4,Centre-Ouest,GPS,R,5.797293,-5.992836,9999,220,WGS84
CI201200000123,CI,2012.000000,123.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,4.000000,Centre-Ouest,GPS,U,6.897991,-6.455416,9999.000000,269.000000,WGS84,CI201200000123,CI,2012,123,IV,NULL,NULL,NULL,NULL,9999,NULL,4,Centre-Ouest,GPS,U,6.897991,-6.455416,9999,269,WGS84
CI201200000124,CI,2012.000000,124.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,4.000000,Centre-Ouest,GPS,R,6.654972,-5.472389,9999.000000,237.000000,WGS84,CI201200000124,CI,2012,124,IV,NULL,NULL,NULL,NULL,9999,NULL,4,Centre-Ouest,GPS,R,6.654972,-5.472389,9999,237,WGS84
CI201200000125,CI,2012.000000,125.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,4.000000,Centre-Ouest,GPS,R,7.295500,-6.809865,9999.000000,261.000000,WGS84,CI201200000125,CI,2012,125,IV,NULL,NULL,NULL,NULL,9999,NULL,4,Centre-Ouest,GPS,R,7.2955,-6.809865,9999,261,WGS84
CI201200000126,CI,2012.000000,126.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,1.000000,Centre,GPS,R,6.397834,-4.890434,9999.000000,163.000000,WGS84,CI201200000126,CI,2012,126,IV,NULL,NULL,NULL,NULL,9999,NULL,1,Centre,GPS,R,6.397834,-4.890434,9999,163,WGS84
CI201200000127,CI,2012.000000,127.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,8.000000,Ouest,GPS,U,7.266339,-8.155649,9999.000000,351.000000,WGS84,CI201200000127,CI,2012,127,IV,NULL,NULL,NULL,NULL,9999,NULL,8,Ouest,GPS,U,7.266339,-8.155649,9999,351,WGS84
CI201200000128,CI,2012.000000,128.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,7.000000,Nord-Ouest,GPS,U,9.505708,-7.581181,9999.000000,416.000000,WGS84,CI201200000128,CI,2012,128,IV,NULL,NULL,NULL,NULL,9999,NULL,7,Nord-Ouest,GPS,U,9.505708,-7.581181,9999,416,WGS84
CI201200000129,CI,2012.000000,129.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,9.000000,Sud sans Abidjan,GPS,U,6.383130,-3.873341,9999.000000,141.000000,WGS84,CI201200000129,CI,2012,129,IV,NULL,NULL,NULL,NULL,9999,NULL,9,Sud sans Abidjan,GPS,U,6.38313,-3.873341,9999,141,WGS84
CI201200000130,CI,2012.000000,130.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,8.000000,Ouest,GPS,R,7.079795,-7.055510,9999.000000,215.000000,WGS84,CI201200000130,CI,2012,130,IV,NULL,NULL,NULL,NULL,9999,NULL,8,Ouest,GPS,R,7.079795,-7.05551,9999,215,WGS84
CI201200000131,CI,2012.000000,131.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,9.000000,Sud sans Abidjan,GAZ,U,5.929377,-4.221194,9999.000000,30.000000,WGS84,CI201200000131,CI,2012,131,IV,NULL,NULL,NULL,NULL,9999,NULL,9,Sud sans Abidjan,GAZ,U,5.929377,-4.221194,9999,30,WGS84
CI201200000132,CI,2012.000000,132.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,5.000000,Nord,GPS,R,9.917156,-5.625558,9999.000000,346.000000,WGS84,CI201200000132,CI,2012,132,IV,NULL,NULL,NULL,NULL,9999,NULL,5,Nord,GPS,R,9.917156,-5.625558,9999,346,WGS84
CI201200000133,CI,2012.000000,133.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,6.000000,Nord-Est,GPS,R,7.377326,-3.067031,9999.000000,245.000000,WGS84,CI201200000133,CI,2012,133,IV,NULL,NULL,NULL,NULL,9999,NULL,6,Nord-Est,GPS,R,7.377326,-3.067031,9999,245,WGS84
CI201200000134,CI,2012.000000,134.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,1.000000,Centre,GPS,U,6.804543,-5.280965,9999.000000,209.000000,WGS84,CI201200000134,CI,2012,134,IV,NULL,NULL,NULL,NULL,9999,NULL,1,Centre,GPS,U,6.804543,-5.280965,9999,209,WGS84
CI201200000135,CI,2012.000000,135.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,7.000000,Nord-Ouest,GAZ,U,9.506225,-7.563249,9999.000000,428.000000,WGS84,CI201200000135,CI,2012,135,IV,NULL,NULL,NULL,NULL,9999,NULL,7,Nord-Ouest,GAZ,U,9.506225,-7.563249,9999,428,WGS84
CI201200000136,CI,2012.000000,136.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,11.000000,Ville D'Abidjan,GPS,U,5.421475,-4.021337,9999.000000,117.000000,WGS84,CI201200000136,CI,2012,136,IV,NULL,NULL,NULL,NULL,9999,NULL,11,Ville D'Abidjan,GPS,U,5.421475,-4.021337,9999,117,WGS84
CI201200000137,CI,2012.000000,137.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,2.000000,Centre-Est,GPS,U,6.728044,-3.484936,9999.000000,171.000000,WGS84,CI201200000137,CI,2012,137,IV,NULL,NULL,NULL,NULL,9999,NULL,2,Centre-Est,GPS,U,6.728044,-3.484936,9999,171,WGS84
CI201200000138,CI,2012.000000,138.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,6.000000,Nord-Est,GPS,R,7.848057,-3.516962,9999.000000,176.000000,WGS84,CI201200000138,CI,2012,138,IV,NULL,NULL,NULL,NULL,9999,NULL,6,Nord-Est,GPS,R,7.848057,-3.516962,9999,176,WGS84
CI201200000139,CI,2012.000000,139.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,5.000000,Nord,GPS,R,9.668400,-5.534807,9999.000000,346.000000,WGS84,CI201200000139,CI,2012,139,IV,NULL,NULL,NULL,NULL,9999,NULL,5,Nord,GPS,R,9.6684,-5.534807,9999,346,WGS84
CI201200000140,CI,2012.000000,140.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,6.000000,Nord-Est,GPS,R,8.166209,-3.630171,9999.000000,226.000000,WGS84,CI201200000140,CI,2012,140,IV,NULL,NULL,NULL,NULL,9999,NULL,6,Nord-Est,GPS,R,8.166209,-3.630171,9999,226,WGS84
CI201200000141,CI,2012.000000,141.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,2.000000,Centre-Est,GPS,U,6.718888,-3.502877,9999.000000,185.000000,WGS84,CI201200000141,CI,2012,141,IV,NULL,NULL,NULL,NULL,9999,NULL,2,Centre-Est,GPS,U,6.718888,-3.502877,9999,185,WGS84
CI201200000142,CI,2012.000000,142.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,11.000000,Ville D'Abidjan,GPS,U,5.365173,-4.002040,9999.000000,86.000000,WGS84,CI201200000142,CI,2012,142,IV,NULL,NULL,NULL,NULL,9999,NULL,11,Ville D'Abidjan,GPS,U,5.365173,-4.00204,9999,86,WGS84
CI201200000143,CI,2012.000000,143.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,6.000000,Nord-Est,GPS,R,7.923090,-2.848583,9999.000000,369.000000,WGS84,CI201200000143,CI,2012,143,IV,NULL,NULL,NULL,NULL,9999,NULL,6,Nord-Est,GPS,R,7.92309,-2.848583,9999,369,WGS84
CI201200000144,CI,2012.000000,144.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,5.000000,Nord,GPS,R,9.204362,-6.555392,9999.000000,422.000000,WGS84,CI201200000144,CI,2012,144,IV,NULL,NULL,NULL,NULL,9999,NULL,5,Nord,GPS,R,9.204362,-6.555392,9999,422,WGS84
CI201200000145,CI,2012.000000,145.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,6.000000,Nord-Est,GPS,U,9.265525,-3.008512,9999.000000,315.000000,WGS84,CI201200000145,CI,2012,145,IV,NULL,NULL,NULL,NULL,9999,NULL,6,Nord-Est,GPS,U,9.265525,-3.008512,9999,315,WGS84
CI201200000146,CI,2012.000000,146.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,2.000000,Centre-Est,GPS,R,6.568554,-3.326121,9999.000000,149.000000,WGS84,CI201200000146,CI,2012,146,IV,NULL,NULL,NULL,NULL,9999,NULL,2,Centre-Est,GPS,R,6.568554,-3.326121,9999,149,WGS84
CI201200000147,CI,2012.000000,147.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,2.000000,Centre-Est,GPS,R,6.653226,-3.718633,9999.000000,154.000000,WGS84,CI201200000147,CI,2012,147,IV,NULL,NULL,NULL,NULL,9999,NULL,2,Centre-Est,GPS,R,6.653226,-3.718633,9999,154,WGS84
CI201200000148,CI,2012.000000,148.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,8.000000,Ouest,GPS,U,6.740592,-7.339064,9999.000000,229.000000,WGS84,CI201200000148,CI,2012,148,IV,NULL,NULL,NULL,NULL,9999,NULL,8,Ouest,GPS,U,6.740592,-7.339064,9999,229,WGS84
CI201200000149,CI,2012.000000,149.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,6.000000,Nord-Est,MIS,R,0.000000,0.000000,9999.000000,9999.000000,WGS84,CI201200000342,CI,2012,342,IV,NULL,NULL,NULL,NULL,9999,NULL,3,Centre-Nord,MIS,R,0,0,9999,9999,WGS84
CI201200000149,CI,2012.000000,149.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,6.000000,Nord-Est,MIS,R,0.000000,0.000000,9999.000000,9999.000000,WGS84,CI201200000206,CI,2012,206,IV,NULL,NULL,NULL,NULL,9999,NULL,6,Nord-Est,MIS,R,0,0,9999,9999,WGS84
CI201200000149,CI,2012.000000,149.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,6.000000,Nord-Est,MIS,R,0.000000,0.000000,9999.000000,9999.000000,WGS84,CI201200000294,CI,2012,294,IV,NULL,NULL,NULL,NULL,9999,NULL,1,Centre,MIS,R,0,0,9999,9999,WGS84
CI201200000149,CI,2012.000000,149.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,6.000000,Nord-Est,MIS,R,0.000000,0.000000,9999.000000,9999.000000,WGS84,CI201200000174,CI,2012,174,IV,NULL,NULL,NULL,NULL,9999,NULL,3,Centre-Nord,MIS,R,0,0,9999,9999,WGS84
CI201200000149,CI,2012.000000,149.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,6.000000,Nord-Est,MIS,R,0.000000,0.000000,9999.000000,9999.000000,WGS84,CI201200000345,CI,2012,345,IV,NULL,NULL,NULL,NULL,9999,NULL,7,Nord-Ouest,MIS,R,0,0,9999,9999,WGS84
CI201200000149,CI,2012.000000,149.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,6.000000,Nord-Est,MIS,R,0.000000,0.000000,9999.000000,9999.000000,WGS84,CI201200000330,CI,2012,330,IV,NULL,NULL,NULL,NULL,9999,NULL,3,Centre-Nord,MIS,R,0,0,9999,9999,WGS84
