DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1FIPS,ADM1FIPSNA,ADM1SALBNA,ADM1SALBCO,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,dhsid_2,dhscc_2,dhsyear_2,dhsclust_2,ccfips_2,adm1fips_2,adm1fipsna_2,adm1salbna_2,adm1salbco_2,adm1dhs_2,adm1name_2,dhsregco_2,dhsregna_2,source_2,urban_rura_2,latnum_2,longnum_2,alt_gps_2,alt_dem_2,datum_2
CI201200000017,CI,2012.000000,17.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,1.000000,Centre,GPS,R,6.356634,-4.541167,9999.000000,101.000000,WGS84,CI201200000017,CI,2012,17,IV,NULL,NULL,NULL,NULL,9999,NULL,1,Centre,GPS,R,6.356634,-4.541167,9999,101,WGS84
CI201200000018,CI,2012.000000,18.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,6.000000,Nord-Est,GPS,R,8.246031,-2.831250,9999.000000,331.000000,WGS84,CI201200000018,CI,2012,18,IV,NULL,NULL,NULL,NULL,9999,NULL,6,Nord-Est,GPS,R,8.246031,-2.83125,9999,331,WGS84
CI201200000019,CI,2012.000000,19.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,11.000000,Ville D'Abidjan,GPS,U,5.262830,-3.930453,9999.000000,4.000000,WGS84,CI201200000019,CI,2012,19,IV,NULL,NULL,NULL,NULL,9999,NULL,11,Ville D'Abidjan,GPS,U,5.26283,-3.930453,9999,4,WGS84
CI201200000020,CI,2012.000000,20.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,6.000000,Nord-Est,GPS,U,8.031223,-2.809747,9999.000000,349.000000,WGS84,CI201200000020,CI,2012,20,IV,NULL,NULL,NULL,NULL,9999,NULL,6,Nord-Est,GPS,U,8.031223,-2.809747,9999,349,WGS84
CI201200000021,CI,2012.000000,21.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,11.000000,Ville D'Abidjan,GPS,U,5.363110,-4.034414,9999.000000,67.000000,WGS84,CI201200000021,CI,2012,21,IV,NULL,NULL,NULL,NULL,9999,NULL,11,Ville D'Abidjan,GPS,U,5.36311,-4.034414,9999,67,WGS84
CI201200000022,CI,2012.000000,22.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,8.000000,Ouest,GPS,R,7.054705,-7.575076,9999.000000,255.000000,WGS84,CI201200000022,CI,2012,22,IV,NULL,NULL,NULL,NULL,9999,NULL,8,Ouest,GPS,R,7.054705,-7.575076,9999,255,WGS84
CI201200000023,CI,2012.000000,23.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,2.000000,Centre-Est,GPS,R,7.216652,-3.349916,9999.000000,176.000000,WGS84,CI201200000023,CI,2012,23,IV,NULL,NULL,NULL,NULL,9999,NULL,2,Centre-Est,GPS,R,7.216652,-3.349916,9999,176,WGS84
CI201200000024,CI,2012.000000,24.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,3.000000,Centre-Nord,GPS,U,7.759748,-5.038454,9999.000000,334.000000,WGS84,CI201200000024,CI,2012,24,IV,NULL,NULL,NULL,NULL,9999,NULL,3,Centre-Nord,GPS,U,7.759748,-5.038454,9999,334,WGS84
CI201200000025,CI,2012.000000,25.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,6.000000,Nord-Est,GPS,R,8.389870,-3.107704,9999.000000,424.000000,WGS84,CI201200000025,CI,2012,25,IV,NULL,NULL,NULL,NULL,9999,NULL,6,Nord-Est,GPS,R,8.38987,-3.107704,9999,424,WGS84
CI201200000026,CI,2012.000000,26.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,2.000000,Centre-Est,GPS,U,6.742130,-3.503726,9999.000000,172.000000,WGS84,CI201200000026,CI,2012,26,IV,NULL,NULL,NULL,NULL,9999,NULL,2,Centre-Est,GPS,U,6.74213,-3.503726,9999,172,WGS84
CI201200000027,CI,2012.000000,27.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,10.000000,Sud-Ouest,GPS,R,5.554276,-6.939747,9999.000000,166.000000,WGS84,CI201200000027,CI,2012,27,IV,NULL,NULL,NULL,NULL,9999,NULL,10,Sud-Ouest,GPS,R,5.554276,-6.939747,9999,166,WGS84
CI201200000028,CI,2012.000000,28.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,8.000000,Ouest,GPS,R,7.670873,-7.547460,9999.000000,588.000000,WGS84,CI201200000028,CI,2012,28,IV,NULL,NULL,NULL,NULL,9999,NULL,8,Ouest,GPS,R,7.670873,-7.54746,9999,588,WGS84
CI201200000029,CI,2012.000000,29.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,10.000000,Sud-Ouest,GPS,R,6.150994,-6.437675,9999.000000,234.000000,WGS84,CI201200000029,CI,2012,29,IV,NULL,NULL,NULL,NULL,9999,NULL,10,Sud-Ouest,GPS,R,6.150994,-6.437675,9999,234,WGS84
CI201200000030,CI,2012.000000,30.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,6.000000,Nord-Est,GPS,R,8.123569,-3.117625,9999.000000,306.000000,WGS84,CI201200000030,CI,2012,30,IV,NULL,NULL,NULL,NULL,9999,NULL,6,Nord-Est,GPS,R,8.123569,-3.117625,9999,306,WGS84
CI201200000031,CI,2012.000000,31.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,1.000000,Centre,GPS,U,6.571018,-5.017456,9999.000000,146.000000,WGS84,CI201200000031,CI,2012,31,IV,NULL,NULL,NULL,NULL,9999,NULL,1,Centre,GPS,U,6.571018,-5.017456,9999,146,WGS84
CI201200000032,CI,2012.000000,32.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,4.000000,Centre-Ouest,GPS,U,6.613021,-6.239216,9999.000000,252.000000,WGS84,CI201200000032,CI,2012,32,IV,NULL,NULL,NULL,NULL,9999,NULL,4,Centre-Ouest,GPS,U,6.613021,-6.239216,9999,252,WGS84
CI201200000033,CI,2012.000000,33.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,4.000000,Centre-Ouest,GPS,R,7.153319,-6.352280,9999.000000,291.000000,WGS84,CI201200000033,CI,2012,33,IV,NULL,NULL,NULL,NULL,9999,NULL,4,Centre-Ouest,GPS,R,7.153319,-6.35228,9999,291,WGS84
CI201200000034,CI,2012.000000,34.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,8.000000,Ouest,GPS,U,7.276869,-7.773602,9999.000000,338.000000,WGS84,CI201200000034,CI,2012,34,IV,NULL,NULL,NULL,NULL,9999,NULL,8,Ouest,GPS,U,7.276869,-7.773602,9999,338,WGS84
CI201200000035,CI,2012.000000,35.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,6.000000,Nord-Est,GPS,U,8.035473,-2.783118,9999.000000,362.000000,WGS84,CI201200000035,CI,2012,35,IV,NULL,NULL,NULL,NULL,9999,NULL,6,Nord-Est,GPS,U,8.035473,-2.783118,9999,362,WGS84
CI201200000036,CI,2012.000000,36.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,4.000000,Centre-Ouest,GAZ,R,6.753785,-6.906316,9999.000000,226.000000,WGS84,CI201200000036,CI,2012,36,IV,NULL,NULL,NULL,NULL,9999,NULL,4,Centre-Ouest,GAZ,R,6.753785,-6.906316,9999,226,WGS84
CI201200000037,CI,2012.000000,37.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,6.000000,Nord-Est,GPS,U,7.493733,-3.243753,9999.000000,194.000000,WGS84,CI201200000037,CI,2012,37,IV,NULL,NULL,NULL,NULL,9999,NULL,6,Nord-Est,GPS,U,7.493733,-3.243753,9999,194,WGS84
CI201200000038,CI,2012.000000,38.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,10.000000,Sud-Ouest,GPS,R,5.887836,-6.755626,9999.000000,206.000000,WGS84,CI201200000038,CI,2012,38,IV,NULL,NULL,NULL,NULL,9999,NULL,10,Sud-Ouest,GPS,R,5.887836,-6.755626,9999,206,WGS84
CI201200000039,CI,2012.000000,39.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,3.000000,Centre-Nord,GPS,U,8.782206,-5.694593,9999.000000,337.000000,WGS84,CI201200000039,CI,2012,39,IV,NULL,NULL,NULL,NULL,9999,NULL,3,Centre-Nord,GPS,U,8.782206,-5.694593,9999,337,WGS84
CI201200000040,CI,2012.000000,40.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,8.000000,Ouest,GPS,U,6.544823,-7.486864,9999.000000,219.000000,WGS84,CI201200000040,CI,2012,40,IV,NULL,NULL,NULL,NULL,9999,NULL,8,Ouest,GPS,U,6.544823,-7.486864,9999,219,WGS84
CI201200000041,CI,2012.000000,41.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,10.000000,Sud-Ouest,GPS,R,5.436679,-6.629985,9999.000000,146.000000,WGS84,CI201200000041,CI,2012,41,IV,NULL,NULL,NULL,NULL,9999,NULL,10,Sud-Ouest,GPS,R,5.436679,-6.629985,9999,146,WGS84
CI201200000042,CI,2012.000000,42.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,2.000000,Centre-Est,GPS,R,7.101894,-3.502596,9999.000000,151.000000,WGS84,CI201200000042,CI,2012,42,IV,NULL,NULL,NULL,NULL,9999,NULL,2,Centre-Est,GPS,R,7.101894,-3.502596,9999,151,WGS84
CI201200000043,CI,2012.000000,43.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,2.000000,Centre-Est,GPS,R,6.981249,-3.417507,9999.000000,292.000000,WGS84,CI201200000043,CI,2012,43,IV,NULL,NULL,NULL,NULL,9999,NULL,2,Centre-Est,GPS,R,6.981249,-3.417507,9999,292,WGS84
CI201200000044,CI,2012.000000,44.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,8.000000,Ouest,GPS,R,7.209309,-7.861717,9999.000000,306.000000,WGS84,CI201200000044,CI,2012,44,IV,NULL,NULL,NULL,NULL,9999,NULL,8,Ouest,GPS,R,7.209309,-7.861717,9999,306,WGS84
CI201200000045,CI,2012.000000,45.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,5.000000,Nord,GPS,U,9.472752,-5.640495,9999.000000,390.000000,WGS84,CI201200000045,CI,2012,45,IV,NULL,NULL,NULL,NULL,9999,NULL,5,Nord,GPS,U,9.472752,-5.640495,9999,390,WGS84
CI201200000046,CI,2012.000000,46.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,7.000000,Nord-Ouest,GPS,U,8.075675,-6.179708,9999.000000,335.000000,WGS84,CI201200000046,CI,2012,46,IV,NULL,NULL,NULL,NULL,9999,NULL,7,Nord-Ouest,GPS,U,8.075675,-6.179708,9999,335,WGS84
CI201200000047,CI,2012.000000,47.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,8.000000,Ouest,GPS,R,6.125206,-7.687486,9999.000000,230.000000,WGS84,CI201200000047,CI,2012,47,IV,NULL,NULL,NULL,NULL,9999,NULL,8,Ouest,GPS,R,6.125206,-7.687486,9999,230,WGS84
CI201200000048,CI,2012.000000,48.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,3.000000,Centre-Nord,GPS,U,7.682816,-5.050195,9999.000000,366.000000,WGS84,CI201200000048,CI,2012,48,IV,NULL,NULL,NULL,NULL,9999,NULL,3,Centre-Nord,GPS,U,7.682816,-5.050195,9999,366,WGS84
