DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1FIPS,ADM1FIPSNA,ADM1SALBNA,ADM1SALBCO,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,ID_0,ISO,NAME_0,ID_1,NAME_1,TYPE_1,ENGTYPE_1,NL_NAME_1,VARNAME_1
CI201200000023,CI,2012.000000,23.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,2.000000,Centre-Est,GPS,R,7.216652,-3.349916,9999.000000,176.000000,WGS84,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,Région,Region,,Comoé central
CI201200000024,CI,2012.000000,24.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,3.000000,Centre-Nord,GPS,U,7.759748,-5.038454,9999.000000,334.000000,WGS84,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,Région,Region,,
CI201200000025,CI,2012.000000,25.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,6.000000,Nord-Est,GPS,R,8.389870,-3.107704,9999.000000,424.000000,WGS84,57,CIV,Côte d'Ivoire,19,Zanzan,Région,Region,,
CI201200000026,CI,2012.000000,26.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,2.000000,Centre-Est,GPS,U,6.742130,-3.503726,9999.000000,172.000000,WGS84,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,Région,Region,,Comoé central
CI201200000027,CI,2012.000000,27.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,10.000000,Sud-Ouest,GPS,R,5.554276,-6.939747,9999.000000,166.000000,WGS84,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,Région,Region,,Cavally inférieur
CI201200000028,CI,2012.000000,28.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,8.000000,Ouest,GPS,R,7.670873,-7.547460,9999.000000,588.000000,WGS84,57,CIV,Côte d'Ivoire,5,Dix-Huit Montagnes,Région,Region,,
CI201200000029,CI,2012.000000,29.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,10.000000,Sud-Ouest,GPS,R,6.150994,-6.437675,9999.000000,234.000000,WGS84,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,Région,Region,,Cavally inférieur
CI201200000030,CI,2012.000000,30.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,6.000000,Nord-Est,GPS,R,8.123569,-3.117625,9999.000000,306.000000,WGS84,57,CIV,Côte d'Ivoire,19,Zanzan,Région,Region,,
CI201200000031,CI,2012.000000,31.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,1.000000,Centre,GPS,U,6.571018,-5.017456,9999.000000,146.000000,WGS84,57,CIV,Côte d'Ivoire,8,Lacs,Région,Region,,
CI201200000032,CI,2012.000000,32.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,4.000000,Centre-Ouest,GPS,U,6.613021,-6.239216,9999.000000,252.000000,WGS84,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,Région,Region,,Sassandra supérieur
CI201200000033,CI,2012.000000,33.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,4.000000,Centre-Ouest,GPS,R,7.153319,-6.352280,9999.000000,291.000000,WGS84,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,Région,Region,,Sassandra supérieur
CI201200000034,CI,2012.000000,34.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,8.000000,Ouest,GPS,U,7.276869,-7.773602,9999.000000,338.000000,WGS84,57,CIV,Côte d'Ivoire,5,Dix-Huit Montagnes,Région,Region,,
CI201200000035,CI,2012.000000,35.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,6.000000,Nord-Est,GPS,U,8.035473,-2.783118,9999.000000,362.000000,WGS84,57,CIV,Côte d'Ivoire,19,Zanzan,Région,Region,,
CI201200000036,CI,2012.000000,36.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,4.000000,Centre-Ouest,GAZ,R,6.753785,-6.906316,9999.000000,226.000000,WGS84,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,Région,Region,,Sassandra supérieur
CI201200000037,CI,2012.000000,37.000000,IV,NULL,NULL,NULL,NULL,9999.000000,NULL,6.000000,Nord-Est,GPS,U,7.493733,-3.243753,9999.000000,194.000000,WGS84,57,CIV,Côte d'Ivoire,19,Zanzan,Région,Region,,
