CT,field_2,field_3,O_Area_km2,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,TYPE_3,ENGTYPE_3,NL_NAME_3,VARNAME_3,P_Area_km2
802,-4.28525,6.63531,193.86326,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,30,Bongouanou,97,M'batto,Sous-préfecture,Sub-prefecture,,,8.66763
1007,-5.92179,6.61049,114.91139,57,CIV,Côte d'Ivoire,10,Marahoué,24,Sinfra,83,Sinfra,Sous-préfecture,Sub-prefecture,,,114.91139
532,-3.97368,5.30246,0.2301,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,0.2301
1137,-3.64934,6.18995,172.45693,57,CIV,Côte d'Ivoire,1,Agnéby,1,Adzopé,1,Adzope,Sous-préfecture,Sub-prefecture,,,53.68121
1137,-3.64934,6.18995,172.45693,57,CIV,Côte d'Ivoire,1,Agnéby,1,Adzopé,5,Yakasse-Attobrou,Sous-préfecture,Sub-prefecture,,,118.77573
595,-3.92508,7.45964,591.81751,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,31,Daoukro,100,Ettrokro,Sous-préfecture,Sub-prefecture,,,42.40358
595,-3.92508,7.45964,591.81751,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,33,Mbahiakro,105,M'bahiakro,Sous-préfecture,Sub-prefecture,,,123.45799
595,-3.92508,7.45964,591.81751,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,33,Mbahiakro,106,Prikro,Sous-préfecture,Sub-prefecture,,,425.95594
1039,-4.02071,5.35506,0.1381,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,0.1381
189,-3.41027,6.07837,547.23714,57,CIV,Côte d'Ivoire,1,Agnéby,1,Adzopé,1,Adzope,Sous-préfecture,Sub-prefecture,,,211.42234
189,-3.41027,6.07837,547.23714,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,28,Abengourou,92,Bettie,Sous-préfecture,Sub-prefecture,,,218.07461
189,-3.41027,6.07837,547.23714,57,CIV,Côte d'Ivoire,1,Agnéby,1,Adzopé,5,Yakasse-Attobrou,Sous-préfecture,Sub-prefecture,,,117.74019
438,-4.03918,5.3213,0.78374,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,0.78374
426,-7.40235,6.80278,335.36837,57,CIV,Côte d'Ivoire,11,Moyen-Cavally,26,Duékoué,86,Duekoue,Sous-préfecture,Sub-prefecture,,,329.92021
426,-7.40235,6.80278,335.36837,57,CIV,Côte d'Ivoire,11,Moyen-Cavally,27,Guiglo,88,Guiglo,Sous-préfecture,Sub-prefecture,,,5.44817
316,-4.08861,5.38932,19.87328,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,19.87328
379,-3.00493,5.27995,95.94438,57,CIV,Côte d'Ivoire,16,Sud-Comoé,40,Aboisso,141,Tiapoum,Sous-préfecture,Sub-prefecture,,,32.75821
379,-3.00493,5.27995,95.94438,57,CIV,Côte d'Ivoire,16,Sud-Comoé,40,Aboisso,140,Mafere,Sous-préfecture,Sub-prefecture,,,63.18617
1211,-4.33135,6.94568,457.80283,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,30,Bongouanou,96,Bongouanou,Sous-préfecture,Sub-prefecture,,,1.99874
1211,-4.33135,6.94568,457.80283,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,32,Dimbokro,102,Bocanda,Sous-préfecture,Sub-prefecture,,,455.80409
624,-5.68791,5.84314,72.29203,57,CIV,Côte d'Ivoire,15,Sud-Bandama,39,Lakota,135,Lakota,Sous-préfecture,Sub-prefecture,,,72.29203
569,-5.35869,6.14902,263.81797,57,CIV,Côte d'Ivoire,6,Fromager,14,Oumé,53,Diegonefla,Sous-préfecture,Sub-prefecture,,,3.41605
569,-5.35869,6.14902,263.81797,57,CIV,Côte d'Ivoire,6,Fromager,14,Oumé,54,Oume,Sous-préfecture,Sub-prefecture,,,0.01298
