CT,field_2,field_3,O_Area_km2,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,TYPE_3,ENGTYPE_3,NL_NAME_3,VARNAME_3,P_Area_km2
736,-4.01966,5.30323,2.65748,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,2.65748
369,-3.76341,5.65292,648.54033,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,69,Alepe,Sous-préfecture,Sub-prefecture,,,648.54033
888,-4.52595,5.72425,144.74261,57,CIV,Côte d'Ivoire,1,Agnéby,2,Agboville,6,Agboville,Sous-préfecture,Sub-prefecture,,,21.30382
888,-4.52595,5.72425,144.74261,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,76,Sikensi,Sous-préfecture,Sub-prefecture,,,123.43879
1193,-3.96289,5.25859,0.52033,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,0.52033
964,-5.02203,7.72763,7.45589,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,42,Bouaké,145,Bouake,Sous-préfecture,Sub-prefecture,,,7.45589
519,-6.20244,6.26589,68.40916,57,CIV,Côte d'Ivoire,6,Fromager,13,Gagnoa,51,Guiberoua,Sous-préfecture,Sub-prefecture,,,68.40916
696,-4.06651,5.36105,0.84363,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,0.84363
221,-5.487,7.89707,554.83515,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,41,Béoumi,142,Beoumi,Sous-préfecture,Sub-prefecture,,,144.75128
221,-5.487,7.89707,554.83515,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,41,Béoumi,143,Bodokro,Sous-préfecture,Sub-prefecture,,,284.44755
221,-5.487,7.89707,554.83515,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,42,Bouaké,144,Botro,Sous-préfecture,Sub-prefecture,,,15.39255
221,-5.487,7.89707,554.83515,57,CIV,Côte d'Ivoire,18,Worodougou,46,Mankono,163,Kounahiri,Sous-préfecture,Sub-prefecture,,,110.24376
11,-4.00659,5.43591,1.38773,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,1.38773
225,-4.05386,5.32566,0.66211,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,0.66211
67,-5.62225,5.65636,236.61362,57,CIV,Côte d'Ivoire,15,Sud-Bandama,38,Divo,132,Fresco,Sous-préfecture,Sub-prefecture,,,32.06193
67,-5.62225,5.65636,236.61362,57,CIV,Côte d'Ivoire,15,Sud-Bandama,38,Divo,133,Guitry,Sous-préfecture,Sub-prefecture,,,24.22821
67,-5.62225,5.65636,236.61362,57,CIV,Côte d'Ivoire,15,Sud-Bandama,39,Lakota,135,Lakota,Sous-préfecture,Sub-prefecture,,,180.32348
77,-4.08809,5.32126,0.8234,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,0.8234
1167,-7.84329,6.56304,1227.9748,57,CIV,Côte d'Ivoire,11,Moyen-Cavally,27,Guiglo,87,Blolequin,Sous-préfecture,Sub-prefecture,,,521.53111
1167,-7.84329,6.56304,1227.9748,57,CIV,Côte d'Ivoire,11,Moyen-Cavally,27,Guiglo,88,Guiglo,Sous-préfecture,Sub-prefecture,,,706.44368
677,-6.73064,6.52535,306.31384,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,15,Daloa,57,Gboguhe,Sous-préfecture,Sub-prefecture,,,16.42749
677,-6.73064,6.52535,306.31384,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,15,Daloa,58,Zoukougbeu,Sous-préfecture,Sub-prefecture,,,12.02485
677,-6.73064,6.52535,306.31384,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,16,Issia,59,Issia,Sous-préfecture,Sub-prefecture,,,277.86151
927,-3.9983,5.26917,1.15643,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,1.15643
428,-5.17323,9.57733,253.21247,57,CIV,Côte d'Ivoire,14,Savanes,35,Ferkessédougou,113,Ferkessedougou,Sous-préfecture,Sub-prefecture,,,92.75147
428,-5.17323,9.57733,253.21247,57,CIV,Côte d'Ivoire,14,Savanes,35,Ferkessédougou,115,Koumbala,Sous-préfecture,Sub-prefecture,,,160.461
299,-6.44185,6.8716,3.44667,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,15,Daloa,56,Daloa,Sous-préfecture,Sub-prefecture,,,3.44667
1077,-5.22684,7.16097,106.99421,57,CIV,Côte d'Ivoire,8,Lacs,19,Yamoussoukro,66,Tiebissou,Sous-préfecture,Sub-prefecture,,,106.99421
279,-4.02845,5.33062,0.63364,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,0.63364
59,-5.07432,7.23481,259.25201,57,CIV,Côte d'Ivoire,8,Lacs,19,Yamoussoukro,66,Tiebissou,Sous-préfecture,Sub-prefecture,,,215.70513
59,-5.07432,7.23481,259.25201,57,CIV,Côte d'Ivoire,8,Lacs,19,Yamoussoukro,64,Didievi,Sous-préfecture,Sub-prefecture,,,43.54688
746,-4.01671,5.32192,0.05536,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,0.05536
831,-3.96046,5.2567,1.38104,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,1.38104
758,-3.90936,5.23996,0.41418,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,0.41418
487,-5.87573,7.46817,339.30339,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,41,Béoumi,142,Beoumi,Sous-préfecture,Sub-prefecture,,,6.15447
487,-5.87573,7.46817,339.30339,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,45,Sakassou,160,Sakassou,Sous-préfecture,Sub-prefecture,,,6.34462
487,-5.87573,7.46817,339.30339,57,CIV,Côte d'Ivoire,10,Marahoué,23,Bouaflé,82,Bouafle,Sous-préfecture,Sub-prefecture,,,123.6635
487,-5.87573,7.46817,339.30339,57,CIV,Côte d'Ivoire,10,Marahoué,25,Zuénoula,84,Gohitafla,Sous-préfecture,Sub-prefecture,,,198.95183
487,-5.87573,7.46817,339.30339,57,CIV,Côte d'Ivoire,10,Marahoué,25,Zuénoula,85,Zuenoula,Sous-préfecture,Sub-prefecture,,,4.18898
639,-6.62666,5.42035,124.11248,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,6,Soubré,22,Meagui (Gnamangui),Sous-préfecture,Sub-prefecture,,,124.11248
285,-4.02162,5.41918,0.59076,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,0.59076
384,-6.89104,5.64062,1144.9352,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,4,San-Pédro,17,San-Pedro,Sous-préfecture,Sub-prefecture,,,163.17901
384,-6.89104,5.64062,1144.9352,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,6,Soubré,22,Meagui (Gnamangui),Sous-préfecture,Sub-prefecture,,,778.72188
384,-6.89104,5.64062,1144.9352,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,7,Tabou,24,Grabo,Sous-préfecture,Sub-prefecture,,,147.09731
384,-6.89104,5.64062,1144.9352,57,CIV,Côte d'Ivoire,11,Moyen-Cavally,27,Guiglo,89,Tahi,Sous-préfecture,Sub-prefecture,,,55.937
262,-4.84635,7.6005,768.3599,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,42,Bouaké,145,Bouake,Sous-préfecture,Sub-prefecture,,,79.84296
262,-4.84635,7.6005,768.3599,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,42,Bouaké,146,Brobo,Sous-préfecture,Sub-prefecture,,,560.54849
262,-4.84635,7.6005,768.3599,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,42,Bouaké,148,Djebonoua,Sous-préfecture,Sub-prefecture,,,28.11869
262,-4.84635,7.6005,768.3599,57,CIV,Côte d'Ivoire,8,Lacs,19,Yamoussoukro,65,Tie-N'diekro,Sous-préfecture,Sub-prefecture,,,99.84976
132,-5.25004,6.80222,10.09407,57,CIV,Côte d'Ivoire,8,Lacs,19,Yamoussoukro,67,Yamoussoukro,Sous-préfecture,Sub-prefecture,,,10.09407
119,-4.2861,6.77575,268.63448,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,30,Bongouanou,96,Bongouanou,Sous-préfecture,Sub-prefecture,,,231.23417
119,-4.2861,6.77575,268.63448,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,32,Dimbokro,102,Bocanda,Sous-préfecture,Sub-prefecture,,,37.40031
856,-7.88025,8.26199,524.69553,57,CIV,Côte d'Ivoire,2,Bafing,3,Touba,12,Koonan,Sous-préfecture,Sub-prefecture,,,101.46832
856,-7.88025,8.26199,524.69553,57,CIV,Côte d'Ivoire,2,Bafing,3,Touba,14,Ouaninou,Sous-préfecture,Sub-prefecture,,,423.22721
821,-4.01536,5.3144,0.2549,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,0.2549
934,-3.97885,5.2937,0.18552,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,0.18552
210,-6.58055,4.93483,227.21307,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,4,San-Pédro,17,San-Pedro,Sous-préfecture,Sub-prefecture,,,227.21307
269,-7.0145,6.24747,207.88524,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,6,Soubré,20,Buyo,Sous-préfecture,Sub-prefecture,,,134.65788
269,-7.0145,6.24747,207.88524,57,CIV,Côte d'Ivoire,11,Moyen-Cavally,26,Duékoué,86,Duekoue,Sous-préfecture,Sub-prefecture,,,9.6928
269,-7.0145,6.24747,207.88524,57,CIV,Côte d'Ivoire,11,Moyen-Cavally,27,Guiglo,89,Tahi,Sous-préfecture,Sub-prefecture,,,63.53456
1094,-6.10715,8.30269,1071.33821,57,CIV,Côte d'Ivoire,18,Worodougou,46,Mankono,161,Dianra,Sous-préfecture,Sub-prefecture,,,3.83084
1094,-6.10715,8.30269,1071.33821,57,CIV,Côte d'Ivoire,18,Worodougou,46,Mankono,164,Mankono,Sous-préfecture,Sub-prefecture,,,486.64434
1094,-6.10715,8.30269,1071.33821,57,CIV,Côte d'Ivoire,18,Worodougou,46,Mankono,165,Sarhala,Sous-préfecture,Sub-prefecture,,,442.15419
1094,-6.10715,8.30269,1071.33821,57,CIV,Côte d'Ivoire,18,Worodougou,46,Mankono,166,Tieningboue,Sous-préfecture,Sub-prefecture,,,138.01561
1094,-6.10715,8.30269,1071.33821,57,CIV,Côte d'Ivoire,18,Worodougou,47,Séguéla,168,Dualla,Sous-préfecture,Sub-prefecture,,,0.69323
1136,-3.96198,5.81896,258.52118,57,CIV,Côte d'Ivoire,1,Agnéby,1,Adzopé,3,Agou,Sous-préfecture,Sub-prefecture,,,87.16511
1136,-3.96198,5.81896,258.52118,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,69,Alepe,Sous-préfecture,Sub-prefecture,,,68.20964
1136,-3.96198,5.81896,258.52118,57,CIV,Côte d'Ivoire,1,Agnéby,2,Agboville,7,Azaguie,Sous-préfecture,Sub-prefecture,,,103.14642
548,-3.97922,5.40861,0.76745,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,0.76745
534,-7.35267,6.74444,77.43894,57,CIV,Côte d'Ivoire,11,Moyen-Cavally,26,Duékoué,86,Duekoue,Sous-préfecture,Sub-prefecture,,,77.43894
1072,-5.27403,6.82504,3.61535,57,CIV,Côte d'Ivoire,8,Lacs,19,Yamoussoukro,67,Yamoussoukro,Sous-préfecture,Sub-prefecture,,,3.61535
1001,-2.7538,7.99668,138.17203,57,CIV,Côte d'Ivoire,19,Zanzan,48,Bondoukou,175,Bondoukou,Sous-préfecture,Sub-prefecture,,,138.17203
1049,-5.06445,6.26742,260.26824,57,CIV,Côte d'Ivoire,9,Lagunes,22,Tiassalé,79,Taabo,Sous-préfecture,Sub-prefecture,,,195.68536
1049,-5.06445,6.26742,260.26824,57,CIV,Côte d'Ivoire,8,Lacs,18,Toumodi,62,Kokoumbo,Sous-préfecture,Sub-prefecture,,,54.07848
1049,-5.06445,6.26742,260.26824,57,CIV,Côte d'Ivoire,8,Lacs,18,Toumodi,63,Toumodi,Sous-préfecture,Sub-prefecture,,,10.50441
124,-4.01988,5.32314,0.11426,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,0.11426
353,-6.19312,8.74013,1625.69295,57,CIV,Côte d'Ivoire,18,Worodougou,46,Mankono,161,Dianra,Sous-préfecture,Sub-prefecture,,,1263.68923
353,-6.19312,8.74013,1625.69295,57,CIV,Côte d'Ivoire,14,Savanes,36,Korhogo,127,Sirasso,Sous-préfecture,Sub-prefecture,,,71.70644
353,-6.19312,8.74013,1625.69295,57,CIV,Côte d'Ivoire,18,Worodougou,46,Mankono,165,Sarhala,Sous-préfecture,Sub-prefecture,,,129.41662
353,-6.19312,8.74013,1625.69295,57,CIV,Côte d'Ivoire,18,Worodougou,46,Mankono,166,Tieningboue,Sous-préfecture,Sub-prefecture,,,0.02265
353,-6.19312,8.74013,1625.69295,57,CIV,Côte d'Ivoire,18,Worodougou,47,Séguéla,169,Kani,Sous-préfecture,Sub-prefecture,,,0.87295
353,-6.19312,8.74013,1625.69295,57,CIV,Côte d'Ivoire,14,Savanes,36,Korhogo,118,Dikodougou,Sous-préfecture,Sub-prefecture,,,119.5817
353,-6.19312,8.74013,1625.69295,57,CIV,Côte d'Ivoire,18,Worodougou,47,Séguéla,171,Morondo,Sous-préfecture,Sub-prefecture,,,40.40336
303,-4.11059,5.33067,1.74845,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,1.69635
303,-4.11059,5.33067,1.74845,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,77,Songon,Sous-préfecture,Sub-prefecture,,,0.0521
668,-7.55909,7.12453,384.70802,57,CIV,Côte d'Ivoire,5,Dix-Huit Montagnes,9,Bangolo,38,Bangolo,Sous-préfecture,Sub-prefecture,,,61.91804
668,-7.55909,7.12453,384.70802,57,CIV,Côte d'Ivoire,5,Dix-Huit Montagnes,12,Man,46,Kouibly,Sous-préfecture,Sub-prefecture,,,3.02355
668,-7.55909,7.12453,384.70802,57,CIV,Côte d'Ivoire,5,Dix-Huit Montagnes,12,Man,47,Logouale,Sous-préfecture,Sub-prefecture,,,319.76644
484,-5.93382,6.11662,12.0937,57,CIV,Côte d'Ivoire,6,Fromager,13,Gagnoa,50,Gagnoa,Sous-préfecture,Sub-prefecture,,,12.0937
1207,-5.96685,6.94076,295.01241,57,CIV,Côte d'Ivoire,10,Marahoué,23,Bouaflé,81,Bonon,Sous-préfecture,Sub-prefecture,,,267.26777
1207,-5.96685,6.94076,295.01241,57,CIV,Côte d'Ivoire,10,Marahoué,23,Bouaflé,82,Bouafle,Sous-préfecture,Sub-prefecture,,,27.74464
234,-4.21096,7.68394,798.45938,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,33,Mbahiakro,105,M'bahiakro,Sous-préfecture,Sub-prefecture,,,641.85064
234,-4.21096,7.68394,798.45938,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,33,Mbahiakro,106,Prikro,Sous-préfecture,Sub-prefecture,,,156.60874
865,-6.5866,6.01594,93.24778,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,6,Soubré,21,Grand-Zattry,Sous-préfecture,Sub-prefecture,,,88.46629
865,-6.5866,6.01594,93.24778,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,6,Soubré,23,Soubre,Sous-préfecture,Sub-prefecture,,,4.78149
1114,-4.05164,5.46018,3.79162,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,3.79162
972,-4.06911,5.35173,0.34135,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,0.34135
28,-6.85008,4.77022,363.82384,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,4,San-Pédro,16,Grand-Bereby,Sous-préfecture,Sub-prefecture,,,298.90841
28,-6.85008,4.77022,363.82384,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,4,San-Pédro,17,San-Pedro,Sous-préfecture,Sub-prefecture,,,64.91543
308,-4.00441,5.34015,0.49744,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,0.49744
372,-7.16542,8.9438,1937.81179,57,CIV,Côte d'Ivoire,4,Denguélé,8,Odienné,34,Seguelon,Sous-préfecture,Sub-prefecture,,,324.90325
372,-7.16542,8.9438,1937.81179,57,CIV,Côte d'Ivoire,18,Worodougou,47,Séguéla,167,Djibrosso,Sous-préfecture,Sub-prefecture,,,445.81223
372,-7.16542,8.9438,1937.81179,57,CIV,Côte d'Ivoire,4,Denguélé,8,Odienné,26,Bako,Sous-préfecture,Sub-prefecture,,,79.6616
372,-7.16542,8.9438,1937.81179,57,CIV,Côte d'Ivoire,4,Denguélé,8,Odienné,27,Dioulatiedougou,Sous-préfecture,Sub-prefecture,,,1087.43471
501,-6.53674,7.51673,313.77713,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,17,Vavoua,61,Vavoua,Sous-préfecture,Sub-prefecture,,,313.77713
949,-8.00915,8.26405,1111.18148,57,CIV,Côte d'Ivoire,2,Bafing,3,Touba,12,Koonan,Sous-préfecture,Sub-prefecture,,,1032.93835
949,-8.00915,8.26405,1111.18148,57,CIV,Côte d'Ivoire,2,Bafing,3,Touba,14,Ouaninou,Sous-préfecture,Sub-prefecture,,,78.24313
1058,-3.14989,7.82115,261.70382,57,CIV,Côte d'Ivoire,19,Zanzan,50,Tanda,181,Assuefry,Sous-préfecture,Sub-prefecture,,,3.28158
1058,-3.14989,7.82115,261.70382,57,CIV,Côte d'Ivoire,19,Zanzan,50,Tanda,184,Tanda,Sous-préfecture,Sub-prefecture,,,258.42224
974,-5.72015,8.13748,752.66391,57,CIV,Côte d'Ivoire,18,Worodougou,46,Mankono,163,Kounahiri,Sous-préfecture,Sub-prefecture,,,105.69439
974,-5.72015,8.13748,752.66391,57,CIV,Côte d'Ivoire,18,Worodougou,46,Mankono,164,Mankono,Sous-préfecture,Sub-prefecture,,,133.65702
974,-5.72015,8.13748,752.66391,57,CIV,Côte d'Ivoire,18,Worodougou,46,Mankono,166,Tieningboue,Sous-préfecture,Sub-prefecture,,,513.31251
350,-4.58169,6.77681,307.03647,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,30,Bongouanou,97,M'batto,Sous-préfecture,Sub-prefecture,,,4.92821
350,-4.58169,6.77681,307.03647,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,32,Dimbokro,102,Bocanda,Sous-préfecture,Sub-prefecture,,,117.14245
350,-4.58169,6.77681,307.03647,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,32,Dimbokro,103,Dimbokro,Sous-préfecture,Sub-prefecture,,,184.96581
19,-3.16458,5.29179,203.22752,57,CIV,Côte d'Ivoire,16,Sud-Comoé,40,Aboisso,141,Tiapoum,Sous-préfecture,Sub-prefecture,,,23.67779
19,-3.16458,5.29179,203.22752,57,CIV,Côte d'Ivoire,16,Sud-Comoé,40,Aboisso,137,Aboisso,Sous-préfecture,Sub-prefecture,,,29.82863
19,-3.16458,5.29179,203.22752,57,CIV,Côte d'Ivoire,16,Sud-Comoé,40,Aboisso,138,Adiake,Sous-préfecture,Sub-prefecture,,,97.7245
19,-3.16458,5.29179,203.22752,57,CIV,Côte d'Ivoire,16,Sud-Comoé,40,Aboisso,140,Mafere,Sous-préfecture,Sub-prefecture,,,51.9966
533,-7.34652,6.74593,38.73064,57,CIV,Côte d'Ivoire,11,Moyen-Cavally,26,Duékoué,86,Duekoue,Sous-préfecture,Sub-prefecture,,,38.73064
703,-3.95904,5.28247,2.01826,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,2.01826
849,-6.45546,6.85414,18.97265,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,15,Daloa,56,Daloa,Sous-préfecture,Sub-prefecture,,,18.97265
1026,-4.03299,5.35449,0.47215,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,0.47215
919,-4.01345,5.30759,0.25616,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,0.25616
673,-5.03483,7.09247,174.12434,57,CIV,Côte d'Ivoire,8,Lacs,19,Yamoussoukro,66,Tiebissou,Sous-préfecture,Sub-prefecture,,,169.53283
673,-5.03483,7.09247,174.12434,57,CIV,Côte d'Ivoire,8,Lacs,19,Yamoussoukro,67,Yamoussoukro,Sous-préfecture,Sub-prefecture,,,4.59151
1185,-7.83512,6.98271,1039.06662,57,CIV,Côte d'Ivoire,5,Dix-Huit Montagnes,9,Bangolo,38,Bangolo,Sous-préfecture,Sub-prefecture,,,615.83282
1185,-7.83512,6.98271,1039.06662,57,CIV,Côte d'Ivoire,5,Dix-Huit Montagnes,11,Danané,43,Danane,Sous-préfecture,Sub-prefecture,,,14.93272
1185,-7.83512,6.98271,1039.06662,57,CIV,Côte d'Ivoire,11,Moyen-Cavally,27,Guiglo,87,Blolequin,Sous-préfecture,Sub-prefecture,,,209.07947
1185,-7.83512,6.98271,1039.06662,57,CIV,Côte d'Ivoire,5,Dix-Huit Montagnes,12,Man,47,Logouale,Sous-préfecture,Sub-prefecture,,,37.99716
1185,-7.83512,6.98271,1039.06662,57,CIV,Côte d'Ivoire,11,Moyen-Cavally,27,Guiglo,88,Guiglo,Sous-préfecture,Sub-prefecture,,,132.97219
1185,-7.83512,6.98271,1039.06662,57,CIV,Côte d'Ivoire,5,Dix-Huit Montagnes,12,Man,49,Sangouine,Sous-préfecture,Sub-prefecture,,,28.25226
800,-4.05394,5.31775,1.36548,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,1.36548
990,-4.07902,5.35332,0.88675,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,0.88675
1115,-4.00469,5.28153,1.18826,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,1.18826
562,-3.99023,5.28796,1.09438,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,1.09438
488,-5.87165,7.57505,476.53227,57,CIV,Côte d'Ivoire,10,Marahoué,25,Zuénoula,84,Gohitafla,Sous-préfecture,Sub-prefecture,,,298.99857
488,-5.87165,7.57505,476.53227,57,CIV,Côte d'Ivoire,10,Marahoué,25,Zuénoula,85,Zuenoula,Sous-préfecture,Sub-prefecture,,,177.5337
1143,-3.96718,7.73212,612.05091,57,CIV,Côte d'Ivoire,19,Zanzan,48,Bondoukou,176,Sandegue,Sous-préfecture,Sub-prefecture,,,5.08283
1143,-3.96718,7.73212,612.05091,57,CIV,Côte d'Ivoire,19,Zanzan,50,Tanda,182,Kouassi-Datekro,Sous-préfecture,Sub-prefecture,,,94.02436
1143,-3.96718,7.73212,612.05091,57,CIV,Côte d'Ivoire,13,N'zi-Comoé,33,Mbahiakro,106,Prikro,Sous-préfecture,Sub-prefecture,,,512.94372
757,-3.81531,6.19877,106.65051,57,CIV,Côte d'Ivoire,1,Agnéby,1,Adzopé,1,Adzope,Sous-préfecture,Sub-prefecture,,,106.65051
53,-5.0232,7.66199,9.23186,57,CIV,Côte d'Ivoire,17,Vallée du Bandama,42,Bouaké,145,Bouake,Sous-préfecture,Sub-prefecture,,,9.23186
412,-5.24357,6.8655,13.30308,57,CIV,Côte d'Ivoire,8,Lacs,19,Yamoussoukro,67,Yamoussoukro,Sous-préfecture,Sub-prefecture,,,13.30308
662,-7.54355,7.3959,30.82421,57,CIV,Côte d'Ivoire,5,Dix-Huit Montagnes,12,Man,48,Man,Sous-préfecture,Sub-prefecture,,,30.82421
751,-4.05421,5.35642,2.42076,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,2.42076
188,-4.02385,5.35688,0.08498,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,0.08498
414,-6.43392,6.86506,17.48813,57,CIV,Côte d'Ivoire,7,Haut-Sassandra,15,Daloa,56,Daloa,Sous-préfecture,Sub-prefecture,,,17.48813
154,-7.57463,9.18568,2100.9916,57,CIV,Côte d'Ivoire,4,Denguélé,8,Odienné,32,Odienne,Sous-préfecture,Sub-prefecture,,,0.67187
154,-7.57463,9.18568,2100.9916,57,CIV,Côte d'Ivoire,2,Bafing,3,Touba,9,Booko,Sous-préfecture,Sub-prefecture,,,21.85979
154,-7.57463,9.18568,2100.9916,57,CIV,Côte d'Ivoire,4,Denguélé,8,Odienné,34,Seguelon,Sous-préfecture,Sub-prefecture,,,9.61619
154,-7.57463,9.18568,2100.9916,57,CIV,Côte d'Ivoire,4,Denguélé,8,Odienné,26,Bako,Sous-préfecture,Sub-prefecture,,,1707.31507
154,-7.57463,9.18568,2100.9916,57,CIV,Côte d'Ivoire,4,Denguélé,8,Odienné,27,Dioulatiedougou,Sous-préfecture,Sub-prefecture,,,361.52867
929,-6.91038,5.96521,836.22038,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,6,Soubré,20,Buyo,Sous-préfecture,Sub-prefecture,,,619.37909
929,-6.91038,5.96521,836.22038,57,CIV,Côte d'Ivoire,3,Bas-Sassandra,6,Soubré,22,Meagui (Gnamangui),Sous-préfecture,Sub-prefecture,,,31.60172
929,-6.91038,5.96521,836.22038,57,CIV,Côte d'Ivoire,11,Moyen-Cavally,27,Guiglo,89,Tahi,Sous-préfecture,Sub-prefecture,,,185.23957
948,-3.47727,6.85661,240.91219,57,CIV,Côte d'Ivoire,12,Moyen-Comoé,28,Abengourou,91,Abengourou,Sous-préfecture,Sub-prefecture,,,240.91219
1124,-4.01815,5.43178,0.5963,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,0.5963
791,-4.06356,5.44585,2.0079,57,CIV,Côte d'Ivoire,9,Lagunes,20,Abidjan,68,Abidjan-Ville,Sous-préfecture,Sub-prefecture,,,2.0079
