DHSCLUST,DHSREGCO,O_Area_km2,ID_1,P_Area_km2,Proportion
176,2,37.38424,2640,37.38424,1.00000
175,2,90.21671,2640,90.21671,1.00000
171,2,233.02392,2640,154.34169,0.66234
171,2,233.02392,2633,78.6589,0.33756
163,4,4736.65055,2634,490.2926,0.10351
163,4,4736.65055,2636,1031.12506,0.21769
163,4,4736.65055,2637,1290.16057,0.27238
163,4,4736.65055,2639,1926.71813,0.40677
38,3,373.64556,2640,48.62939,0.13015
38,3,373.64556,2632,137.69656,0.36852
38,3,373.64556,2633,187.29194,0.50126
39,3,378.00743,2632,42.16644,0.11155
39,3,378.00743,2633,335.8504,0.88848
25,3,174.10027,2632,136.79132,0.78570
25,3,174.10027,2633,37.30785,0.21429
26,3,236.11608,2632,236.11608,1.00000
47,3,1365.68909,2634,137.17182,0.10044
47,3,1365.68909,2636,25.41582,0.01861
47,3,1365.68909,2632,118.69706,0.08691
47,3,1365.68909,2633,1084.3441,0.79399
24,3,33.30769,2632,33.30769,1.00000
173,2,277.12733,2640,277.12733,1.00000
2,2,5.83338,2631,5.83338,1.00000
1,2,8.47442,2631,8.47442,1.00000
23,3,470.88143,2632,470.88143,1.00000
178,2,320.39022,2640,320.10927,0.99912
178,2,320.39022,2632,0.28399,0.00089
21,3,340.46331,2640,43.88904,0.12891
21,3,340.46331,2632,296.56016,0.87105
4,2,9.40097,2631,9.40097,1.00000
19,2,183.95173,2640,94.53717,0.51392
19,2,183.95173,2631,89.43352,0.48618
3,2,16.37318,2631,16.37318,1.00000
16,2,77.67012,2631,77.67012,1.00000
14,2,26.65201,2631,26.65201,1.00000
7,2,9.78006,2631,9.78006,1.00000
12,2,11.69619,2631,11.69619,1.00000
158,4,7929.63189,2639,7929.63202,1.00000
6,2,5.23906,2631,5.23906,1.00000
13,2,6.57598,2631,6.57598,1.00000
5,2,29.69093,2631,29.69093,1.00000
11,2,5.26531,2631,5.26531,1.00000
177,2,315.32588,2640,300.08284,0.95166
177,2,315.32588,2631,15.2311,0.04830
183,2,346.17821,2640,346.17821,1.00000
8,2,8.81712,2631,8.81712,1.00000
9,2,8.34627,2631,8.34627,1.00000
15,2,5.86596,2631,5.86596,1.00000
10,2,22.54539,2631,22.54539,1.00000
34,3,453.11777,2632,453.11777,1.00000
20,3,638.3025,2632,638.3025,1.00000
17,2,105.54277,2631,105.54277,1.00000
28,3,19.27065,2632,19.27065,1.00000
18,2,205.25247,2640,107.18756,0.52222
18,2,205.25247,2631,98.05788,0.47774
180,2,222.896,2640,216.73618,0.97236
180,2,222.896,2632,6.17272,0.02769
32,3,132.05827,2632,120.14294,0.90977
32,3,132.05827,2633,11.91501,0.09023
181,2,90.02322,2640,90.02322,1.00000
35,3,65.93585,2632,65.93585,1.00000
31,3,24.04094,2632,24.04094,1.00000
106,1,2803.09937,2634,270.53616,0.09651
106,1,2803.09937,2636,2304.11293,0.82199
106,1,2803.09937,2633,228.33759,0.08146
129,1,3674.1628,2634,739.16857,0.20118
129,1,3674.1628,2636,2598.41368,0.70721
129,1,3674.1628,2637,334.65062,0.09108
182,2,172.48606,2640,172.48606,1.00000
30,3,59.9485,2632,59.9485,1.00000
29,3,437.93697,2636,274.51913,0.62685
29,3,437.93697,2632,163.38628,0.37308
33,3,496.46249,2636,324.45402,0.65353
33,3,496.46249,2632,140.6594,0.28332
33,3,496.46249,2633,31.38046,0.06321
186,2,424.15586,2640,424.15586,1.00000
27,3,381.84022,2636,48.52602,0.12708
27,3,381.84022,2632,333.33434,0.87297
187,2,679.4199,2640,679.4199,1.00000
179,2,471.72228,2640,268.87553,0.56999
179,2,471.72228,2632,202.83327,0.42998
22,3,699.14543,2636,167.45527,0.23951
22,3,699.14543,2640,210.40957,0.30095
22,3,699.14543,2632,321.358,0.45964
117,1,3895.38847,2637,3041.19786,0.78072
117,1,3895.38847,2639,854.0023,0.21923
103,1,892.104,2636,885.20334,0.99226
103,1,892.104,2632,6.86254,0.00769
185,2,909.85868,2636,85.03137,0.09346
185,2,909.85868,2640,762.20298,0.83772
185,2,909.85868,2632,62.55617,0.06875
184,2,950.67155,2636,180.04138,0.18938
184,2,950.67155,2640,770.75262,0.81075
128,1,8554.7604,2636,12.47743,0.00146
128,1,8554.7604,2637,8542.3776,0.99855
108,1,1737.4471,2636,1737.4471,1.00000
105,1,1343.50368,2636,1343.50368,1.00000
119,1,2702.02453,2637,2702.02457,1.00000
110,1,4147.26423,2636,4105.51062,0.98993
110,1,4147.26423,2637,42.77974,0.01032
120,1,177.47102,2637,177.47102,1.00000
109,1,2521.15543,2636,2521.15543,1.00000
125,1,621.31858,2637,621.31858,1.00000
104,1,1338.15543,2636,1179.55701,0.88148
104,1,1338.15543,2640,158.46335,0.11842
113,1,380.41749,2636,380.41749,1.00000
116,1,303.37684,2636,303.37684,1.00000
126,1,89.83126,2637,89.83133,1.00000
159,4,868.62574,2639,868.62584,1.00000
118,1,236.08231,2637,236.08237,1.00000
111,1,1177.13289,2636,1177.13289,1.00000
127,1,801.29578,2637,801.29578,1.00000
115,1,295.69961,2636,295.69961,1.00000
114,1,882.18254,2636,865.03551,0.98056
114,1,882.18254,2638,17.23188,0.01953
122,1,1856.17946,2637,1856.17946,1.00000
124,1,255.81518,2637,255.81612,1.00000
112,1,3556.5716,2636,2830.80623,0.79594
112,1,3556.5716,2638,725.81523,0.20408
141,1,893.8022,2636,406.88476,0.45523
141,1,893.8022,2638,486.82504,0.54467
143,1,273.92071,2636,23.67361,0.08643
143,1,273.92071,2638,250.23655,0.91354
144,1,138.37165,2638,138.37168,1.00000
140,1,770.33002,2638,770.33005,1.00000
107,1,6468.51097,2636,4589.51342,0.70952
107,1,6468.51097,2637,206.03861,0.03185
107,1,6468.51097,2638,1672.57954,0.25857
137,1,3456.42728,2636,86.75754,0.02510
137,1,3456.42728,2637,873.57324,0.25274
137,1,3456.42728,2638,2495.78707,0.72207
142,1,589.38577,2638,19.51089,0.03310
142,1,589.38577,2640,122.32266,0.20754
142,1,589.38577,2631,447.3418,0.75900
121,1,640.81139,2637,533.76307,0.83295
121,1,640.81139,2638,107.04418,0.16704
123,1,394.20968,2637,394.20994,1.00000
134,1,335.61506,2638,335.61506,1.00000
132,1,1541.17197,2638,1541.17215,1.00000
139,1,1422.73779,2638,1422.73787,1.00000
131,1,492.12487,2638,492.12501,1.00000
133,1,1366.4812,2638,1366.48123,1.00000
138,1,3194.83854,2636,108.38221,0.03392
138,1,3194.83854,2638,3085.74936,0.96585
136,1,1871.78098,2638,1871.78114,1.00000
135,1,2012.60084,2638,2012.60097,1.00000
130,1,575.13122,2638,575.13136,1.00000
