DHSCLUST,DHSREGCO,O_Area_km2,ID_2,P_Area_km2,Proportion
194,4,1134.85095,31104,325.82305,0.28711
194,4,1134.85095,31105,787.54306,0.69396
194,4,1134.85095,31106,21.49009,0.01894
149,4,250.3979,31106,6.63998,0.02652
149,4,250.3979,31090,243.77119,0.97354
80,4,812.9505,31099,812.95029,1.00000
78,4,1363.80785,31099,1363.80784,1.00000
81,4,271.85547,31099,271.85546,1.00000
197,4,82.99138,31106,82.99137,1.00000
200,4,10.68054,31104,4.04044,0.37830
200,4,10.68054,31106,6.64105,0.62179
83,4,688.14846,31099,688.14844,1.00000
199,4,496.67795,31104,5.55014,0.01117
199,4,496.67795,31105,58.04876,0.11687
199,4,496.67795,31106,433.10354,0.87200
152,4,233.05982,31106,67.90528,0.29136
152,4,233.05982,31090,165.16919,0.70870
196,4,312.72741,31104,91.45661,0.29245
196,4,312.72741,31106,221.28142,0.70759
195,4,430.5332,31104,55.15473,0.12811
195,4,430.5332,31106,306.28256,0.71140
195,4,430.5332,31090,69.09427,0.16049
82,4,295.0277,31099,295.0277,1.00000
154,4,478.07646,31090,478.07646,1.00000
153,4,498.57075,31090,498.57054,1.00000
84,4,1399.58589,31099,659.54512,0.47124
84,4,1399.58589,31100,740.52872,0.52911
100,4,1450.71157,31100,119.87645,0.08263
100,4,1450.71157,31091,1331.12344,0.91757
89,4,1328.51522,31089,1326.62567,0.99858
89,4,1328.51522,31091,1.8881,0.00142
157,4,230.26386,31090,230.26386,1.00000
79,4,1102.40448,31099,1102.40448,1.00000
198,4,227.49607,31104,189.65574,0.83367
198,4,227.49607,31106,37.80864,0.16619
151,4,561.18021,31090,561.1801,1.00000
156,4,332.05255,31090,332.05255,1.00000
193,4,449.61406,31104,449.61406,1.00000
190,4,677.48669,31104,677.48669,1.00000
155,4,486.28348,31104,198.0358,0.40724
155,4,486.28348,31090,288.22741,0.59271
150,4,976.27391,31089,52.38332,0.05366
150,4,976.27391,31090,923.91677,0.94637
93,4,587.99687,31089,587.99682,1.00000
94,4,103.52042,31089,103.52042,1.00000
88,4,1109.12716,31089,1021.98169,0.92143
88,4,1109.12716,31090,87.16737,0.07859
191,4,919.54723,31104,919.54723,1.00000
145,4,1211.07225,31104,188.80678,0.15590
145,4,1211.07225,31090,1022.24805,0.84409
146,4,950.44151,31090,950.44151,1.00000
92,4,638.20443,31089,638.20443,1.00000
85,4,3774.13165,31099,2946.20588,0.78063
85,4,3774.13165,31100,827.84883,0.21935
90,4,1108.03905,31089,524.71338,0.47355
90,4,1108.03905,31091,583.39919,0.52652
192,4,1326.42057,31104,1311.93064,0.98908
192,4,1326.42057,31090,14.493,0.01093
96,4,1192.58671,31100,61.75787,0.05178
96,4,1192.58671,31091,1131.1202,0.94846
87,4,1657.93494,31099,1657.93494,1.00000
147,4,920.39363,31089,288.24266,0.31317
147,4,920.39363,31090,632.21605,0.68690
98,4,889.79676,31089,590.58617,0.66373
98,4,889.79676,31091,299.13158,0.33618
101,4,131.20239,31091,131.20258,1.00000
99,4,414.16872,31091,414.16872,1.00000
189,4,356.96108,31104,356.96108,1.00000
91,4,1874.80435,31100,23.97168,0.01279
91,4,1874.80435,31089,1850.83259,0.98721
86,4,6854.75414,31098,2285.37697,0.33340
86,4,6854.75414,31099,4087.41197,0.59629
86,4,6854.75414,31100,482.2407,0.07035
97,4,1520.66064,31100,398.45679,0.26203
97,4,1520.66064,31091,1122.69574,0.73829
148,4,745.65623,31090,745.65654,1.00000
188,4,554.71617,31104,554.71623,1.00000
167,4,4129.70941,31098,268.00007,0.06490
167,4,4129.70941,31099,64.1363,0.01553
167,4,4129.70941,31100,3656.85776,0.88550
167,4,4129.70941,31091,139.82565,0.03386
95,4,1360.96469,31089,1245.09254,0.91486
95,4,1360.96469,31090,115.75933,0.08506
102,4,226.10835,31091,226.10837,1.00000
74,3,487.36603,31088,478.22334,0.98124
74,3,487.36603,31090,9.14269,0.01876
76,3,447.64724,31088,447.64723,1.00000
166,4,1778.61247,31100,1778.61176,1.00000
44,3,929.51933,31084,929.5193,1.00000
170,4,1047.3974,31100,1024.91992,0.97854
170,4,1047.3974,31091,22.43741,0.02142
168,4,1502.9555,31098,780.00212,0.51898
168,4,1502.9555,31100,722.97867,0.48104
164,4,674.28557,31100,476.73158,0.70702
164,4,674.28557,31089,197.55379,0.29298
162,4,2294.38976,31100,2294.38976,1.00000
160,4,7159.18545,31098,5976.20876,0.83476
160,4,7159.18545,31100,1182.19925,0.16513
45,3,284.69733,31084,270.1673,0.94896
45,3,284.69733,31088,14.5374,0.05106
77,3,544.64529,31084,117.67263,0.21605
77,3,544.64529,31088,426.97256,0.78395
75,3,404.30831,31086,5.16061,0.01276
75,3,404.30831,31087,38.43223,0.09506
75,3,404.30831,31088,360.71942,0.89219
58,3,740.30253,31086,367.26558,0.49610
58,3,740.30253,31087,0.04431,0.00006
58,3,740.30253,31088,372.99107,0.50384
53,3,451.13545,31100,43.36244,0.09612
53,3,451.13545,31086,407.77641,0.90389
73,3,235.95136,31087,132.70912,0.56244
73,3,235.95136,31088,103.23954,0.43755
66,3,422.17976,31084,56.95094,0.13490
66,3,422.17976,31087,285.30923,0.67580
66,3,422.17976,31088,79.91283,0.18929
52,3,817.19779,31100,461.38325,0.56459
52,3,817.19779,31086,356.05705,0.43570
64,3,282.02335,31085,2.22348,0.00788
64,3,282.02335,31087,279.80551,0.99214
65,3,414.32107,31085,36.85873,0.08896
65,3,414.32107,31086,108.11031,0.26093
65,3,414.32107,31087,269.35512,0.65011
51,3,350.99276,31086,319.8597,0.91130
51,3,350.99276,31087,31.13097,0.08869
57,3,658.42794,31086,658.42768,1.00000
60,3,1098.30788,31100,84.20237,0.07667
60,3,1098.30788,31086,1013.98282,0.92322
61,3,1087.61288,31086,1087.61287,1.00000
165,4,3959.38758,31098,122.55912,0.03095
165,4,3959.38758,31100,3324.02453,0.83953
165,4,3959.38758,31095,514.1399,0.12985
169,4,401.96996,31098,181.06654,0.45045
169,4,401.96996,31100,220.91373,0.54958
46,3,664.40062,31084,657.98118,0.99034
46,3,664.40062,31087,6.41946,0.00966
59,3,250.43816,31086,250.43816,1.00000
37,3,1005.73297,31083,614.94111,0.61144
37,3,1005.73297,31084,208.13047,0.20694
37,3,1005.73297,31101,182.66174,0.18162
69,3,158.65163,31087,158.65163,1.00000
72,3,86.53183,31085,30.41635,0.35150
72,3,86.53183,31087,56.1148,0.64849
71,3,8.71752,31085,1.4723,0.16889
71,3,8.71752,31087,7.24556,0.83115
50,3,544.62822,31085,6.72691,0.01235
50,3,544.62822,31086,537.91869,0.98768
55,3,320.02423,31086,320.02423,1.00000
70,3,318.28746,31084,25.89074,0.08134
70,3,318.28746,31085,21.72468,0.06825
70,3,318.28746,31087,270.68523,0.85044
56,3,974.18304,31086,974.18304,1.00000
43,3,750.04157,31083,204.16583,0.27221
43,3,750.04157,31084,545.92459,0.72786
68,3,160.0556,31085,158.57646,0.99076
68,3,160.0556,31087,1.47655,0.00923
49,3,321.09782,31085,321.09782,1.00000
67,3,433.34283,31083,108.64912,0.25072
67,3,433.34283,31084,91.08677,0.21020
67,3,433.34283,31087,233.54998,0.53895
161,4,6644.9344,31098,3310.88915,0.49826
161,4,6644.9344,31100,454.61219,0.06841
161,4,6644.9344,31095,2878.64575,0.43321
42,3,251.90318,31083,251.90318,1.00000
36,3,486.52738,31083,245.96402,0.50555
36,3,486.52738,31085,116.92902,0.24033
36,3,486.52738,31087,123.64916,0.25415
41,3,291.51211,31083,291.51211,1.00000
54,3,1465.70817,31085,44.65361,0.03047
54,3,1465.70817,31086,1421.18877,0.96963
62,3,1677.04162,31086,1677.04162,1.00000
63,3,577.73305,31085,416.75766,0.72137
63,3,577.73305,31086,160.96737,0.27862
48,3,706.11561,31081,54.31247,0.07692
48,3,706.11561,31082,192.71273,0.27292
48,3,706.11561,31083,2.49465,0.00353
48,3,706.11561,31085,456.58699,0.64662
172,2,606.41807,31083,3.12442,0.00515
172,2,606.41807,31101,504.68689,0.83224
172,2,606.41807,31102,98.61724,0.16262
40,3,403.61301,31083,297.2053,0.73636
40,3,403.61301,31101,106.46136,0.26377
174,2,250.70176,31101,250.70176,1.00000
176,2,37.38424,31101,36.16239,0.96732
176,2,37.38424,31102,1.22173,0.03268
175,2,90.21671,31101,89.57583,0.99290
175,2,90.21671,31102,0.64488,0.00715
171,2,233.02392,31083,78.6589,0.33756
171,2,233.02392,31101,154.34169,0.66234
163,4,4736.65055,31100,1926.71813,0.40677
163,4,4736.65055,31086,490.2926,0.10351
163,4,4736.65055,31093,1031.12506,0.21769
163,4,4736.65055,31095,1290.16057,0.27238
38,3,373.64556,31080,137.69656,0.36852
38,3,373.64556,31083,187.29194,0.50126
38,3,373.64556,31101,48.62939,0.13015
39,3,378.00743,31080,16.0406,0.04243
39,3,378.00743,31081,26.13199,0.06913
39,3,378.00743,31083,335.8504,0.88848
25,3,174.10027,31081,136.79132,0.78570
25,3,174.10027,31083,34.697,0.19929
25,3,174.10027,31085,2.61052,0.01499
26,3,236.11608,31080,89.17202,0.37766
26,3,236.11608,31081,146.95444,0.62238
47,3,1365.68909,31082,118.69706,0.08691
47,3,1365.68909,31085,1084.3441,0.79399
47,3,1365.68909,31086,137.17182,0.10044
47,3,1365.68909,31093,25.41582,0.01861
24,3,33.30769,31081,33.30769,1.00000
173,2,277.12733,31101,264.00611,0.95265
173,2,277.12733,31102,13.11894,0.04734
2,2,5.83338,31077,5.83338,1.00000
1,2,8.47442,31077,8.47442,1.00000
23,3,470.88143,31081,388.55488,0.82517
23,3,470.88143,31082,82.3274,0.17484
178,2,320.39022,31080,0.28399,0.00089
178,2,320.39022,31101,136.64441,0.42649
178,2,320.39022,31102,183.45301,0.57259
21,3,340.46331,31080,296.56016,0.87105
21,3,340.46331,31101,11.08175,0.03255
21,3,340.46331,31102,32.80729,0.09636
4,2,9.40097,31077,9.40097,1.00000
19,2,183.95173,31101,94.53717,0.51392
19,2,183.95173,31079,89.43352,0.48618
3,2,16.37318,31077,16.37318,1.00000
16,2,77.67012,31079,77.67012,1.00000
14,2,26.65201,31078,20.13324,0.75541
14,2,26.65201,31079,6.51879,0.24459
7,2,9.78006,31077,8.66574,0.88606
7,2,9.78006,31078,1.11437,0.11394
12,2,11.69619,31078,11.69619,1.00000
158,4,7929.63189,31098,7929.63202,1.00000
6,2,5.23906,31077,5.09747,0.97297
6,2,5.23906,31078,0.14159,0.02703
13,2,6.57598,31078,6.57598,1.00000
5,2,29.69093,31077,29.69093,1.00000
11,2,5.26531,31078,5.26531,1.00000
177,2,315.32588,31101,88.40327,0.28036
177,2,315.32588,31102,210.92468,0.66891
177,2,315.32588,31103,0.75885,0.00241
177,2,315.32588,31079,15.2311,0.04830
183,2,346.17821,31101,0.93486,0.00270
183,2,346.17821,31102,345.23955,0.99729
8,2,8.81712,31077,7.02848,0.79714
8,2,8.81712,31078,1.78859,0.20285
9,2,8.34627,31078,8.34627,1.00000
15,2,5.86596,31078,5.86596,1.00000
10,2,22.54539,31078,18.98654,0.84215
10,2,22.54539,31079,3.55886,0.15785
34,3,453.11777,31082,453.11777,1.00000
20,3,638.3025,31080,525.33,0.82301
20,3,638.3025,31081,112.98931,0.17702
17,2,105.54277,31078,0.00167,0.00002
17,2,105.54277,31079,105.54108,0.99998
28,3,19.27065,31082,19.27065,1.00000
18,2,205.25247,31102,106.63709,0.51954
18,2,205.25247,31103,0.55268,0.00269
18,2,205.25247,31079,98.05788,0.47774
180,2,222.896,31080,6.17272,0.02769
180,2,222.896,31102,216.73618,0.97236
32,3,132.05827,31082,120.14294,0.90977
32,3,132.05827,31085,11.91501,0.09023
181,2,90.02322,31102,60.23861,0.66915
181,2,90.02322,31103,29.78658,0.33088
35,3,65.93585,31082,65.93585,1.00000
31,3,24.04094,31082,24.04094,1.00000
106,1,2803.09937,31085,228.33759,0.08146
106,1,2803.09937,31086,270.53616,0.09651
106,1,2803.09937,31093,2304.11293,0.82199
129,1,3674.1628,31086,739.16857,0.20118
129,1,3674.1628,31093,2598.41368,0.70721
129,1,3674.1628,31095,334.65062,0.09108
182,2,172.48606,31102,108.26891,0.62770
182,2,172.48606,31103,64.22848,0.37237
30,3,59.9485,31082,59.9485,1.00000
29,3,437.93697,31082,163.38628,0.37308
29,3,437.93697,31092,64.78542,0.14793
29,3,437.93697,31093,209.78931,0.47904
33,3,496.46249,31082,140.6594,0.28332
33,3,496.46249,31085,31.38046,0.06321
33,3,496.46249,31093,324.45402,0.65353
186,2,424.15586,31102,18.36823,0.04331
186,2,424.15586,31103,405.78518,0.95669
27,3,381.84022,31081,85.93139,0.22505
27,3,381.84022,31082,247.39855,0.64791
27,3,381.84022,31092,48.52602,0.12708
187,2,679.4199,31102,10.80982,0.01591
