DHSCLUST,DHSREGCO,O_Area_km2,ID_3,P_Area_km2,Proportion
194,4,1134.85095,92548,299.65106,0.26404
194,4,1134.85095,92550,26.17199,0.02306
194,4,1134.85095,92552,396.47081,0.34936
194,4,1134.85095,92553,391.07504,0.34460
194,4,1134.85095,92555,21.49009,0.01894
149,4,250.3979,92497,231.27336,0.92362
149,4,250.3979,92498,12.50707,0.04995
149,4,250.3979,92554,6.63998,0.02652
80,4,812.9505,92531,812.95033,1.00000
78,4,1363.80785,92530,1215.38506,0.89117
78,4,1363.80785,92531,4.12083,0.00302
78,4,1363.80785,92532,144.38649,0.10587
81,4,271.85547,92530,23.34996,0.08589
81,4,271.85547,92531,248.54698,0.91426
197,4,82.99138,92554,77.98984,0.93973
197,4,82.99138,92555,5.00001,0.06025
200,4,10.68054,92551,4.04044,0.37830
200,4,10.68054,92554,6.64105,0.62179
83,4,688.14846,92530,61.91671,0.08998
83,4,688.14846,92532,626.26098,0.91007
199,4,496.67795,92550,5.55014,0.01117
199,4,496.67795,92552,36.66266,0.07382
199,4,496.67795,92553,21.38333,0.04305
199,4,496.67795,92554,48.23426,0.09711
199,4,496.67795,92555,384.87163,0.77489
152,4,233.05982,92497,104.9088,0.45014
152,4,233.05982,92498,60.25526,0.25854
152,4,233.05982,92554,67.90528,0.29136
196,4,312.72741,92551,91.45661,0.29245
196,4,312.72741,92554,221.28142,0.70759
195,4,430.5332,92497,13.9102,0.03231
195,4,430.5332,92498,28.85773,0.06703
195,4,430.5332,92499,26.32483,0.06114
195,4,430.5332,92551,55.15473,0.12811
195,4,430.5332,92554,306.28259,0.71140
82,4,295.0277,92530,206.91841,0.70135
82,4,295.0277,92531,88.0277,0.29837
154,4,478.07646,92497,0.50846,0.00106
154,4,478.07646,92498,280.42104,0.58656
154,4,478.07646,92499,197.15893,0.41240
153,4,498.57075,92497,338.13993,0.67822
153,4,498.57075,92498,158.39101,0.31769
153,4,498.57075,92500,2.0415,0.00409
84,4,1399.58589,92530,4.62802,0.00331
84,4,1399.58589,92532,654.97262,0.46798
84,4,1399.58589,92537,740.52871,0.52911
100,4,1450.71157,92501,358.21598,0.24692
100,4,1450.71157,92502,17.05987,0.01176
100,4,1450.71157,92503,956.34172,0.65922
100,4,1450.71157,92537,119.8766,0.08263
89,4,1328.51522,92503,1.8881,0.00142
89,4,1328.51522,92493,1301.79192,0.97988
89,4,1328.51522,92494,13.45572,0.01013
89,4,1328.51522,92495,11.41867,0.00860
157,4,230.26386,92498,138.16725,0.60004
157,4,230.26386,92500,92.07519,0.39987
79,4,1102.40448,92530,984.51354,0.89306
79,4,1102.40448,92531,81.84504,0.07424
79,4,1102.40448,92533,36.19881,0.03284
198,4,227.49607,92550,96.36803,0.42360
198,4,227.49607,92551,93.30435,0.41014
198,4,227.49607,92554,28.59634,0.12570
198,4,227.49607,92555,9.21149,0.04049
151,4,561.18021,92497,80.87585,0.14412
151,4,561.18021,92498,8.10514,0.01444
