ID_3,Population
1,227332
2,75272
3,63967
4,127370
5,118198
6,236224
7,109119
8,112774
9,125778
10,128145
11,180210
12,133828
13,121466
14,122557
15,244950
16,272836
17,520329
18,77703
19,504743
20,300697
21,124243
22,319606
23,251192
24,501216
25,171191
26,295961
27,194223
28,365457
29,79796
30,356389
31,228172
32,395487
33,23541
34,255678
35,93804
36,47164
37,178969
38,249354
39,287540
40,128946
41,141947
42,58456
43,378950
44,95241
45,122062
46,118837
47,86970
48,128556
49,101873
50,240816
51,151892
52,141814
53,84491
54,192832
55,135692
56,212403
57,94772
58,177953
59,299563
60,135328
61,734908
62,89324
63,242408
64,135391
65,62821
66,272728
67,225538
68,73178
69,259544
70,87592
71,24359
72,148022
73,229950
74,14990
75,73142
76,58354
77,43061
78,254705
79,135709
80,285179
81,175801
82,311317
83,196178
84,118179
85,271197
86,357043
87,349500
88,384408
89,498081
90,94457
91,425844
92,114099
93,62750
94,222669
95,182046
96,182404
97,193387
98,93344
99,113634
100,166675
101,168958
102,258308
103,189601
104,135560
105,303301
106,310836
107,403841
108,85919
109,124582
110,206986
111,121448
112,273379
113,263576
114,1060988
115,160658
116,171153
117,122943
118,223210
119,70167
120,23237
121,19906
122,177653
123,289408
124,168513
125,193268
126,58267
127,234727
128,46969
129,59725
130,215985
131,303718
132,219255
133,356791
134,63062
135,257388
136,56919
137,144840
138,74768
139,227174
140,157477
141,123349
142,134322
143,92038
144,75904
145,208447
146,148618
147,62678
148,54398
149,103316
150,171184
151,480386
152,282040
153,58492
154,58052
155,160002
156,166010
157,477160
158,234996
159,68823
160,223821
161,369919
162,59323
163,116255
164,235270
165,142883
166,398579
167,207163
168,89306
169,157368
170,111219
171,197475
172,196587
173,94066
174,293476
175,833214
176,329533
177,1836857
178,101411
179,290350
180,347950
181,63030
182,181617
183,273736
184,176806
185,59019
