DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,All_Population_Density_2000,All_Population_Density_2005,All_Population_Density_2010,All_Population_Density_2015,Aridity,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Global_Human_Footprint,Growing_Season_Length,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Malaria_2000,Malaria_2005,Malaria_2010,Malaria_2015,Nightlights_Composite,Potential_Evapotranspiration,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015
CI201200000118,CIGE61FL,CI,2012,118,CI2012DHS,5597.396484,6214.470703,7007.758789,16.23041904,17.81706638,19.78127462,22.30638903,7096.981081,0.000123871,0.000351312,0.000494916,5,2976.2,2994.1,3103.9,3235.2,3337.1,3400.7,3437.9,30.25405405,9.0,0,0.138001763,0.661654907,0.611185328,0.555567424,0.513699214,0.392209498,0.005531054,1843.013514,76001.56887,105457.7578,166104.1074,1286.9,1167.3,1397.5,1300.6,1070.6,1317.8,853.4,0.2765265181257918,0,0,0,28.69974899,24.8702507,25.50975037,28.2234993,26.09350014,25.16650009,26.27750015,29.12450027,27.83475113,26.5047493,26.00024986,25.21924973,135.6432432,15971.875,18162.45313,20830.74219,24195.82813,50.84005713,57.81288389,66.30631176,77.01771298
CI201200000119,CIGE61FL,CI,2012,119,CI2012DHS,2105.409424,2344.339111,2644.435059,6.099182279,6.701726341,7.462263156,8.417498227,16436.18817,0.001393054,0.005531595,0.011379234,-9999,3947.777778,3906.333333,3992.777778,3951.777778,4230.111111,4249.555556,4275.111111,34.63709677,14.0,0.018378693,0.182399738,0.627328025,0.530236994,0.464885984,0.507860729,0.458265271,0.029610001,1475.787634,5634.928776,50706.24643,311477.4697,1778.2,2054.6,1942,2063.9,2305.9,2890.3,1633.3,0.6841913859049479,0,0,1,26.60600026,24.41833242,26.86199951,26.43866475,25.4469986,23.91333262,24.8093338,26.79733276,25.94666545,25.39000193,26.2463328,25.07633464,293.0376344,7028.020508,7600.392578,8300.69043,9166.329102,22.37088408,24.19280096,26.42191826,29.17733173
CI201200000120,CIGE61FL,CI,2012,120,CI2012DHS,12598.98828,14125.70313,16007.83691,36.18437988,40.10382525,44.96350956,50.95452745,6124.164894,0.000585142,0.00120262,0.001895525,2,2527.444444,2542.777778,2705.555556,2871.666667,2968.333333,2989,2974.333333,27.41755319,8.0,0,0.158114711,0.703198411,0.434454091,0.405197875,0.404665407,0.271075122,0.052423904,1896.005319,4696.993043,179162.0667,253348.802,1145.3,1204.3,1143.9,1235.9,961.3,1190.6,994.2,0.5694850353484459,0,0,0,29.53924942,25.66824913,25.37849808,27.82125092,25.76849937,26.11025047,27.09049988,29.21850014,28.57649994,26.97449875,26.77325058,25.92924881,278.106383,12099.87012,14863.05859,18409.92188,22928.84375,38.51508281,47.31058488,58.60060138,72.98477644
CI201200000121,CIGE61FL,CI,2012,121,CI2012DHS,42456.51953,47137.0625,53154.19141,3077.7128,3378.582475,3751.04825,4229.876154,9838.5,0.617384638,0.691446849,0.700080599,-9999,3133,3345,3547,3532,3622,3586,3594,63.57142857,13,0,0.134054893,0.474073856,0.411524594,0.380010009,0.410782635,0.374931097,7.087145049,1421.642857,5267.785242,54356.47202,276091.0824,1224,1062,1172,1199,1399,1562,1123,0.024760512369019643,3,3,3,27.52783585,24.5515461,26.46082497,27.10103035,26.41649437,24.96907234,25.84123611,27.3453598,26.78659821,26.58144379,25.94329834,25.01030922,10.85714286,2528.61377,2805.511963,3139.437256,3557.933105,201.2206903,223.2555484,249.8284789,283.1313204
CI201200000122,CIGE61FL,CI,2012,122,CI2012DHS,23897.24609,26531.75586,29918.58203,69.29335783,76.06729683,84.45320188,95.23380441,9266.626344,0.002237644,0.005791251,0.010773986,-9999,4577.6,4649.6,4729.5,4428.1,4523.6,4545.3,4584.6,30.49731183,12.0,0,0.122425258,0.648736625,0.58348643,0.547905858,0.532132181,0.440612316,0.038944699,1546.319892,82471.24848,96044.09507,141071.627,1667.166667,1534,1574.75,1563.083333,1641.75,2104.166667,1428.75,0.5109940805742818,0,0,0,26.8780009,23.97933451,25.4350001,26.75466665,25.76800028,24.18599955,25.12766774,26.85266622,26.08166504,25.61033376,25.27866618,24.65866597,319.9086022,17484.17969,19882.08594,22818.07813,26536.06641,55.65387247,63.28664513,72.63219852,84.46692279
CI201200000123,CIGE61FL,CI,2012,123,CI2012DHS,29061.28711,32265.09375,36383.79297,2106.679894,2312.623748,2567.57458,2895.33025,7778.533333,0.517342091,0.549855669,0.612101714,-9999,4044,3943,3818,4130,4262,4287,4258,54.53333333,12.0,0,0.144118126,0.560122727,0.479719251,0.481211036,0.428093463,0.385903955,10.49096098,1694.4,158304.0753,29675.45772,81068.35841,1357,905,1244,1162,1115,1478,998,0.3579772313435872,3,3,3,27.24300003,24.56999969,25.50600052,27.56200027,26.11499977,24.69400024,25.64999962,27.62000084,26.68900108,25.96299934,25.67399979,25.12400055,2.466666667,2983.412598,3189.779053,3439.705322,3756.527832,237.4124311,253.8345518,273.7230524,298.9349867
CI201200000124,CIGE61FL,CI,2012,124,CI2012DHS,27159.57422,30153.73242,34002.91406,78.75292461,86.45160979,95.98231135,108.234637,7194.48248,0.007413108,0.011096176,0.012889792,-9999,4754.2,4849.7,4892.6,4721.8,4812.2,4864.7,4924.7,32.1671159,12.0,0,0.092612494,0.631251651,0.613902092,0.577497482,0.572824069,0.371815239,0.02091268,1694.80593,170934.0357,46246.73388,31568.94885,1380.2,1043.1,1387.7,1227.5,1214.7,1566,1007.9,0.6395064608427392,0,0,0,27.52300008,24.71866608,25.40166728,27.72033437,26.14466604,24.83833313,25.77266693,27.85900116,26.78566742,25.94933319,25.804334,25.28666687,185.6442049,34734.73438,37874.8125,41657.96094,46409.53516,110.5640935,120.5592726,132.6014081,147.7261385
CI201200000125,CIGE61FL,CI,2012,125,CI2012DHS,22036.0625,24465.38672,27588.4375,63.896594,70.14296546,77.87574462,87.81672401,7594.136364,0.004046826,0.008988657,0.021262487,-9999,4287.2,4388.9,4499.1,4405.9,4654.9,4737,4693.3,27.8766756,12.0,0,0.103427944,0.681840109,0.61012578,0.625987649,0.526815176,0.423194885,0,1734.68984,148288.1054,44826.06839,107635.068,1476.666667,1150.583333,1465.833333,1441.083333,1260.333333,1710.5,1208.333333,0.15865148452513997,0,0,1,26.90899913,24.10400136,24.88999939,26.77166748,25.40633392,24.13599904,25.29500071,27.06599935,26.38099925,25.5,25.2536672,24.8680013,205.9411765,12566.53809,13597.73145,14839.83203,16402.0293,40.00053309,43.2829235,47.23665244,52.2092808
CI201200000126,CIGE61FL,CI,2012,126,CI2012DHS,10622.08984,11793.10254,13298.51172,30.80020547,33.81116208,37.53861127,42.33047752,6771.188172,0.004748399,0.005534914,0.00810004,-9999,3847.6,3832.5,3936,3887.9,4161.4,4271.4,4285.5,28.5483871,12.0,0,0.098734318,0.589212952,0.553223312,0.519331932,0.568229437,0.38303268,0.059508119,1699.806452,138039.8526,20551.7883,80691.91827,1289.25,1040.583333,1399.166667,1234.333333,1257,1511.833333,1086.666667,1.624753890498992,0,0,0,28.05066681,25.06966654,26.20700073,28.22599792,26.8719991,25.22666677,26.18299866,28.26566569,27.26133219,26.62333171,26.19033305,25.60566711,133.5645161,14855.56055,15357.62012,16012.6377,16908.91797,47.28671788,48.88482312,50.96980884,53.82275755
CI201200000127,CIGE61FL,CI,2012,127,CI2012DHS,24023.64453,26672.08789,30076.82617,1741.496701,1911.740889,2122.497315,2393.437779,10564.2,0.387524238,0.487214015,0.481330211,-9999,4858,4830,4800,4655,4753,4777,4738,58.8125,12,0,0.070997169,0.591968387,0.379001707,0.41571039,0.394684523,0.317803532,2.346470461,1867.4,16689.83227,42007.77669,256277.6825,2249,2010,2442,2268,2306,2672,2484,0.22919538815816243,2,3,3,25.89599991,23.38800049,24.12899971,25.32600021,24.72599983,23.51399994,24.64800072,25.72599983,25.60000038,24.91399956,24.99399948,24.51000023,104.8,1512.416504,1635.387329,1783.546387,1969.944824,120.3542813,130.1399886,141.9301119,156.7632282
