Region,Lab_Pop_Count
31077,-1.328015017456042
31078,-1.313217746359037
31079,0.9031762853254424
31080,-0.3152615781976987
31081,1.1842669937285153
31082,1.672960433447506
31083,-0.008187213571353
31084,0.82738490494401
31085,-0.3742272539118943
31086,-0.2897438802499246
31087,-0.004472597624229947
31088,1.1680841436274354
31089,2.1632139060396605
31090,0.9936097849331335
31091,1.8669031211420897
31092,-0.8758133079834123
31093,-0.7202848919473511
31094,-1.328015017456042
31095,-0.5098147780650178
31096,-1.159567458814678
31097,-0.8450831518934044
31098,-0.2702323005060861
31099,1.0994978323023719
31100,0.7663796658611685
31101,-0.2608474341379546
31102,-0.26322155805261094
31103,-0.37614912431732456
31104,-0.30071252299837314
31105,-1.328015017456042
31106,-0.7745952203528704
