Region,CM_Pop_Count
92463,3.46480784073202
92464,4.766275003384701
92465,1.302617690821445
92466,0.5215327903479444
92467,0.7639821690186255
92468,0.3557553628247477
92469,1.1746108621964149
92470,2.0184545464251107
92471,0.6516681974426688
92472,2.796278166524937
92473,0.593154615850558
92474,-0.40734279160155545
92475,0.11958526253524762
92476,0.19001661461116479
92477,0.17790502299360278
92478,-0.6858218356003147
92479,-0.08448554774549796
92480,-0.6083117748462465
92481,0.6526270882046621
92482,0.27281984901756595
92483,-0.12711978239576113
92484,-0.24238326576649888
92485,-0.6321053567789156
92486,0.008814530147718193
92487,1.2988583553145998
92488,0.018161139558182784
92489,1.0741410243580263
92490,0.7172430934432962
92491,0.8660011346971966
92492,0.7249793279540047
92493,0.11190037944737184
92494,-0.0143985649798696
92495,0.06005397408696895
92496,-0.6392159732628484
92497,0.6115361865139547
92498,0.3065917269082736
92499,0.7728405237754242
92500,0.25111009469927137
92501,-0.3412812404983396
92502,0.8832219336069798
92503,0.6951959054658284
92504,-0.24649589512301165
92505,-0.5178053899777579
92506,-0.5442011833486535
92507,-1.3079035879404062
92508,-0.5446485101576903
92509,-1.3701556614183237
92510,-1.233834955642428
92511,-1.074597495791337
92512,-0.6759099594572952
92513,-0.02075430163668331
92514,-0.4158479178634764
92515,-0.7013928614578081
92516,-0.8251728453415261
92517,-1.067179904692166
92518,-0.385120041117424
92519,-0.8191153610733931
92520,-0.43482239530212813
92521,-0.4647893991497956
92522,-0.3901537886872313
92523,-1.1812130817908177
92524,-0.6851535248389208
92525,-0.8501292701167337
92526,-1.1884981016768057
92527,-0.4198666510084525
92528,-1.1551327316185518
92529,-1.2467088092292882
92530,-0.7473098324704315
92531,-0.14680574089899273
92532,-0.7965309962010437
92533,-0.6814462782257933
92534,-0.4454069535612157
92535,-0.9148533791620551
92536,-0.11585455183470898
92537,-0.9898291074561065
92538,0.8061539806508934
92539,0.9991777503904324
92540,-0.2510860729669514
92541,0.3784020316468147
92542,0.8829629531844334
92543,0.7988858168724009
92544,0.25942396300415355
92545,0.23479126430220318
92546,-0.5367161884774477
92547,0.08046182189089025
92548,-1.1278399406198942
92549,-0.8354232716060792
92550,-1.3880802849026856
92551,-0.013312169355596721
92552,-0.20443521140771537
92553,-0.18394366370032825
92554,1.117382328783973
92555,-0.8524389218536688
