Region,Zero_Pop_Count
31077,-1.4495512118596892
31078,2.0922480242003405
31079,-1.4495512118596892
31080,-0.2772746204191739
31081,2.90122393235842
31082,1.6900117878015564
31083,-0.19379149434824097
31084,0.09497352021042368
31085,-0.2041591992870583
31086,0.6644868342787601
31087,-0.010304843903283255
31088,1.5018827922222941
31089,0.4057139008068118
31090,0.8314927354509883
31091,0.14160096559754418
31092,-0.6512800068497169
31093,-0.4492816891110672
31094,-0.8052700193563503
31095,-0.10505997296959782
31096,-0.7972929949277863
31097,-0.42865005000139084
31098,-0.12911758974671889
31099,-0.022667451397410724
31100,0.46155277811952744
31101,-0.45922816512766307
31102,0.3184924158486885
31103,-0.6942148074757645
31104,-0.8387186719022629
31105,-1.4495512118596892
31106,-0.6887144744928063
