Region,Rapid_Pop_Count
31077,-1.2569478199814215
31078,2.8358903626845207
31079,0.8600336154390428
31080,-0.054401700849629614
31081,0.3656834764733107
31082,1.4986410527390746
31083,-0.6221738791333618
31084,0.44969376679415446
31085,-0.6487200457559662
31086,0.0383687193522507
31087,0.04365433171463836
31088,1.3624020042829397
31089,1.5725723646732264
31090,0.44046744679172006
31091,1.4282235160881702
31092,-0.8348948823168348
31093,-0.7544918485305008
31094,-1.2569478199814215
31095,-0.6212024289064939
31096,-1.2569478199814215
31097,-1.2569478199814215
31098,-0.21866253488059448
31099,0.600131158406891
31100,0.3173573506918138
31101,-0.2398115924401847
31102,0.11923338531755015
31103,-0.20408904371285275
31104,-0.5921678378661651
31105,-1.2569478199814215
31106,-0.8569976571496096
