Region,Care_Pop_Count
92463,4.88351175767672
92464,5.1746065431998245
92465,1.3352074612897942
92466,0.26788478663859544
92467,0.5612237139325384
92468,0.3753258828359158
92469,0.4905906911798536
92470,0.9177753242325212
92471,0.19501655144324942
92472,2.0624291944136193
92473,0.4002603844734362
92474,-0.0050067183752594375
92475,0.28096710162562805
92476,0.3949667839783646
92477,0.16099422919415898
92478,-0.093236955676173
92479,0.2247969200800072
92480,-0.5546844993620004
92481,0.8156371515149438
92482,0.1311932973681352
92483,0.20488815370756924
92484,-0.5722726834874856
92485,-0.4256168243362678
92486,-0.20127183793638082
92487,1.2867745760976308
92488,0.8256819459326847
92489,1.098815543559757
92490,0.16467593624407234
92491,0.5973767981685979
92492,0.5261909978686619
92493,-0.47054894361793415
92494,-0.2970105583925574
92495,-0.47073831989830606
92496,-0.48849386513351056
92497,0.609093869136219
92498,0.147989384609472
92499,0.21741584403420855
92500,0.05034397907207514
92501,-0.4827020699535591
92502,0.181840352789462
92503,-0.6654112026931003
92504,-0.313170601568045
92505,-0.39032402421860757
92506,-0.4063873410545753
92507,-1.042482701768468
92508,-0.5651089553498722
92509,-1.2477951375092557
92510,-0.9932333138580437
92511,-0.6928265745720216
92512,-0.21770381902426525
92513,0.38446448923612775
92514,-0.12202621386384972
92515,-0.6422240151137135
92516,-0.8181867183818293
92517,-0.8297666594429314
92518,-0.6290516984210026
92519,-0.48693841231637686
92520,0.35787858735404654
92521,-0.2981129231292423
92522,-0.7180955422808533
92523,-0.9333300120554873
92524,-0.7692152887482111
92525,-0.8594317502976595
92526,-1.095815723601231
92527,-0.6096818494779732
92528,-1.0486232617536757
92529,-1.0724470293585078
92530,-0.7252694429358351
92531,-0.32606273928776053
92532,-0.8141335035369369
92533,-0.8849766002825686
92534,-0.9445562454769583
92535,-0.8852717532950032
92536,-0.6533379883479701
92537,-0.9602541842639869
92538,0.7096713883747113
92539,0.847882756093447
92540,0.12400513751511574
92541,0.5176087111647882
92542,1.0524306538382173
92543,0.9560036154534258
92544,-0.06003702593365897
92545,-0.19302005562243293
92546,-0.38939776893098693
92547,0.5280496154272735
92548,-0.6247830074601523
92549,-0.4472555624615968
92550,-0.43732360030927225
92551,0.0906160688600308
92552,-0.7351483823939117
92553,-0.7795390758022616
92554,1.10897008754156
92555,0.12828471521307852
