ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,TYPE_3,ENGTYPE_3,NL_NAME_3,VARNAME_3,NUMPOINTS
57,CIV,Côte d'Ivoire,14,Savanes,36,Korhogo,120,Karakoro,Sous-préfecture,Sub-prefecture,,,0
57,CIV,Côte d'Ivoire,14,Savanes,36,Korhogo,121,Komborodougou,Sous-préfecture,Sub-prefecture,,,0
57,CIV,Côte d'Ivoire,14,Savanes,36,Korhogo,122,Korhogo,Sous-préfecture,Sub-prefecture,,,5
57,CIV,Côte d'Ivoire,14,Savanes,36,Korhogo,123,M'bengue,Sous-préfecture,Sub-prefecture,,,2
57,CIV,Côte d'Ivoire,14,Savanes,36,Korhogo,124,Napieoledougou,Sous-préfecture,Sub-prefecture,,,2
57,CIV,Côte d'Ivoire,14,Savanes,36,Korhogo,125,Niofoin,Sous-préfecture,Sub-prefecture,,,1
57,CIV,Côte d'Ivoire,14,Savanes,36,Korhogo,126,Sinematiali,Sous-préfecture,Sub-prefecture,,,2
57,CIV,Côte d'Ivoire,14,Savanes,36,Korhogo,127,Sirasso,Sous-préfecture,Sub-prefecture,,,1
57,CIV,Côte d'Ivoire,14,Savanes,36,Korhogo,128,Tioroniaradougou,Sous-préfecture,Sub-prefecture,,,0
57,CIV,Côte d'Ivoire,14,Savanes,37,Tengréla,129,Kanakono,Sous-préfecture,Sub-prefecture,,,1
57,CIV,Côte d'Ivoire,14,Savanes,37,Tengréla,130,Tengrela,Sous-préfecture,Sub-prefecture,,,1
57,CIV,Côte d'Ivoire,15,Sud-Bandama,38,Divo,131,Divo,Sous-préfecture,Sub-prefecture,,,12
57,CIV,Côte d'Ivoire,15,Sud-Bandama,38,Divo,132,Fresco,Sous-préfecture,Sub-prefecture,,,8
57,CIV,Côte d'Ivoire,15,Sud-Bandama,38,Divo,133,Guitry,Sous-préfecture,Sub-prefecture,,,11
57,CIV,Côte d'Ivoire,15,Sud-Bandama,38,Divo,134,Hire,Sous-préfecture,Sub-prefecture,,,6
57,CIV,Côte d'Ivoire,15,Sud-Bandama,39,Lakota,135,Lakota,Sous-préfecture,Sub-prefecture,,,7
