ID_1,Longitude,Latitude
1,-3.98869,6.07257
10,-5.89334,7.10997
11,-7.59421,6.41755
12,-3.42234,6.70101
13,-4.23543,7.10043
14,-5.56060,9.56629
15,-5.44771,5.66680
16,-3.12328,5.51272
17,-4.94521,8.27029
18,-6.40160,8.36764
19,-3.34755,8.67008
2,-7.62140,8.38223
3,-6.74933,5.35702
4,-7.39199,9.64565
5,-7.70177,7.40019
6,-5.86371,6.22131
7,-6.60260,7.02250
8,-5.08776,6.90480
9,-4.38048,5.59980
