ID_3,Latitude,Longitude
1,6.08188,-3.73107
2,6.32761,-4.02620
3,5.91015,-3.96567
4,6.47507,-3.83887
5,6.18091,-3.57181
6,5.91247,-4.29059
7,5.71727,-4.11758
8,6.08659,-4.34521
81,6.90177,-6.03669
82,7.06006,-5.72275
83,6.65460,-5.76400
84,7.54573,-5.82980
85,7.44166,-6.11749
86,6.72805,-7.26748
87,6.59144,-8.01661
88,6.47409,-7.60384
89,6.01153,-7.37586
90,6.51156,-8.37867
91,6.66688,-3.50203
92,6.06278,-3.33409
93,6.67243,-3.30980
94,7.10137,-3.34688
95,6.76774,-3.92518
96,6.70763,-4.21463
97,6.41224,-4.35818
98,6.44049,-4.62556
100,7.31050,-3.71662
101,7.29502,-4.20230
99,7.09089,-3.93059
102,6.99108,-4.38847
103,6.76461,-4.73306
104,7.23454,-4.62773
105,7.58909,-4.32850
106,7.69766,-3.95077
107,9.39396,-6.50063
108,9.96892,-6.54976
109,9.84031,-6.22334
110,9.82896,-6.65471
111,10.08426,-6.39876
112,9.99291,-5.44033
113,9.71878,-5.05782
114,9.14746,-4.39711
115,9.45667,-5.03119
116,10.26365,-5.63132
117,10.03636,-5.16430
118,8.85635,-5.83857
119,9.22267,-5.77469
120,9.40093,-5.52205
121,9.36795,-5.41683
122,9.58177,-5.67368
123,10.04736,-5.93123
124,9.07558,-5.56516
125,9.61649,-5.98626
126,9.53390,-5.39713
127,9.14591,-6.10233
128,9.36091,-5.74933
129,10.35786,-6.27084
130,10.47328,-6.45633
131,5.89284,-5.24695
132,5.30272,-5.64667
133,5.46490,-5.28480
134,6.13786,-5.27882
135,5.77834,-5.73920
136,6.10219,-5.64274
137,5.47374,-3.26424
138,5.22558,-3.30962
139,5.83060,-3.19479
140,5.45863,-2.95280
141,5.21671,-2.93128
142,7.67759,-5.56338
143,7.93650,-5.44455
144,7.92133,-5.29578
145,7.81260,-4.93562
146,7.71257,-4.70232
147,7.76972,-5.21992
148,7.47552,-5.06688
149,8.11380,-4.13627
150,8.34374,-4.75344
151,8.39827,-4.32081
152,8.72838,-4.70933
153,7.97285,-4.52974
154,7.96385,-4.38756
155,8.32955,-5.23334
156,8.10532,-5.04700
157,8.69151,-5.22830
158,9.16276,-5.17941
159,8.72500,-5.59323
160,7.43789,-5.39421
161,8.83557,-6.34266
162,7.78025,-6.09783
163,7.87188,-5.78676
164,8.08129,-6.11574
165,8.45770,-6.14540
166,8.28665,-5.72924
167,8.76320,-7.02978
168,8.22174,-6.45037
169,8.50313,-6.59527
170,7.90700,-6.39271
171,8.84302,-6.70576
172,8.01940,-6.65194
173,7.91556,-6.96825
174,8.31403,-6.93506
175,8.28968,-2.94137
176,8.10388,-3.74016
177,9.14470,-3.36709
178,9.74654,-3.26004
179,8.45868,-3.58696
180,9.74387,-3.81211
181,7.73919,-2.97627
182,7.74148,-3.59796
183,7.40922,-3.23470
184,7.83505,-3.23111
185,7.49110,-3.01350
10,8.67328,-7.57906
11,8.18277,-7.22308
12,8.35062,-8.07465
13,8.51768,-7.40165
14,8.20489,-7.85641
15,8.14668,-7.59783
9,8.90585,-7.78207
16,4.84266,-7.01734
17,5.10578,-6.67772
18,5.58373,-6.08561
19,5.25771,-6.11438
20,6.12032,-6.93750
21,6.14065,-6.58822
22,5.59938,-6.74875
23,5.81543,-6.44108
24,5.18771,-7.27572
25,4.59252,-7.41537
26,9.09469,-7.58001
27,9.03656,-7.27273
28,10.10407,-7.05068
29,9.87268,-7.48246
30,9.66593,-7.00360
31,10.05427,-7.83975
32,9.63669,-7.72022
33,9.87227,-7.60442
34,9.25385,-7.04197
35,9.52986,-7.99437
36,9.51264,-7.34069
37,10.26453,-7.51418
39,7.78299,-7.57341
40,7.68469,-7.30004
41,7.85073,-7.90214
42,6.72842,-8.28398
43,7.36540,-8.12860
44,6.96501,-8.17564
45,7.50492,-7.21810
46,7.30301,-7.24506
47,7.14153,-7.62286
48,7.45400,-7.58809
49,7.30193,-7.80681
38,7.02953,-7.47503
50,5.98340,-5.99654
51,6.15543,-6.24997
52,6.36508,-5.91782
53,6.28487,-5.62033
54,6.43677,-5.46041
55,7.09702,-6.24206
56,6.86955,-6.43438
57,6.80696,-6.59447
58,6.84293,-6.87404
59,6.46605,-6.67294
60,6.48343,-6.25069
61,7.45041,-6.68924
62,6.47093,-5.18051
63,6.51801,-4.94734
64,7.22424,-4.88195
65,7.45066,-4.80645
66,7.13583,-5.18823
67,6.86915,-5.28233
68,5.34660,-4.01184
69,5.63753,-3.71538
70,5.51800,-4.04909
71,5.34255,-3.84613
72,5.41880,-3.53151
73,5.43529,-4.51123
74,5.23518,-3.76386
75,5.23259,-4.54606
76,5.69309,-4.56051
77,5.33550,-4.19803
78,5.38339,-4.96561
79,6.18000,-4.99230
80,5.95552,-4.72949
