Region,gResidual
1,-0.45585414391308476
2,-0.730509756026871
3,1.0347360958781768
4,-1.1344175877159455
5,-0.814331053020211
6,-0.4688101089364111
7,-1.0768576817867967
8,1.8886890427079743
9,-0.5715442322459628
10,0.3530249853034846
11,-0.45063575952958157
12,-0.5385521690897066
13,-0.7380105943712155
14,-0.8606699351870994
15,-0.5465343597339468
16,-0.7638192748520136
17,0.16963950109975473
18,-0.793753063349975
19,0.7159072314709354
20,-1.9892651784013073
21,-0.7232853412250806
22,-0.60968056668319
23,-0.19522581863286018
24,-0.8999832299681657
25,0.03389177078140987
26,-1.029272030168524
27,-0.020398650314418374
28,-0.6062289321590263
29,-0.9827973050301497
30,-0.3359275175895723
31,0.08156288197626448
32,0.12136628180174039
33,0.5096241411640985
34,1.2214851054389486
35,1.8877002050453835
36,2.135044349633239
37,-0.5812313374775147
38,-0.2168622513345379
39,-0.8458270862006085
40,-0.8920092019337956
41,-0.20482053025202474
42,0.04545341548604287
43,1.5942615097678985
44,1.7134492507588133
45,-0.2630887915669081
46,1.9665993105763175
47,1.8374203753980807
48,0.9006956385162778
49,1.8052193826901393
50,0.3244330132015215
