Region,Positive_HIV_Pop
1,0.4042223895414166
2,0.03768881382476202
3,-0.9007671973285407
4,0.21543146262713747
5,-0.28704527593714796
6,-0.45914525640505827
7,0.6106925178657834
8,-1.0358057112047852
9,-0.08380785883405051
10,-0.8675321953832656
11,0.7581194263114521
12,1.1232640578746775
13,0.14493748458558173
14,0.15079519905886457
15,-0.059696947384632236
16,-0.46330806389665397
17,-0.8693142082399006
18,-1.105597702799944
19,0.9796656358687286
20,4.017247040164962
21,-0.08279093549752277
22,-0.2504370444177067
23,-0.3462156177770654
24,0.39738759621429925
25,-1.1045173154246322
26,1.3009044562091132
27,-0.37132326378900443
28,1.7079775893023974
29,2.473424781807072
30,-0.34066021090463794
31,0.2488027613776455
32,-0.7633403131812498
33,-0.7360487658589632
34,-1.2794223877920432
35,-0.836218386785594
36,0.1229475190793034
37,-0.6697337355859112
38,-0.8556492021981761
39,-0.565499069887508
40,-0.5796187461967954
41,0.2097793504993202
42,2.284506840925355
43,-0.7955602800313848
44,-0.043004616273903694
45,-0.488033632300362
46,-0.3005146508996458
47,-0.36689837158472843
48,0.34840714140546225
49,-0.9066503259989869
50,0.27795522525648686
