Region,Rapid_Pop_Count
1,-0.22352336715239862
2,-0.6943147500558787
3,-0.13450473848134065
4,0.6808043640758106
5,-0.4989563112872874
6,-0.05819654882036061
7,0.14912257485892136
8,-1.2181376564530138
9,0.7699205239782052
10,-0.2148702158748203
11,1.4361606977950065
12,0.7434153501044716
13,0.5026558757255163
14,0.3817199411093322
15,0.06890749683551045
16,-0.8614253806749608
17,-0.6597010512142919
18,-0.9464656333185916
19,0.5594546109906842
20,0.46606569938230163
21,-0.22397007349302378
22,-0.36950014095472256
23,-0.42633749388086645
24,1.3151895637333917
25,-0.0370387863032952
26,0.9793272243768821
27,-0.21899920021846617
28,3.3372942543198993
29,2.6031506009813707
30,-0.358909093370648
31,-0.26215022559806916
32,-1.3777424447711482
33,-0.0290738979917076
34,-1.25452163733133
35,-1.0692803688960058
36,0.19232547272360911
37,-1.1684279795771708
38,-0.6860986508139426
39,-0.3377393763709563
40,-1.3212106653462328
41,-1.650193099916633
42,2.038159286546071
43,-0.2619518426972845
44,-0.968011588796221
45,0.7118510897776713
46,0.6170996394577367
47,-0.11571216409016583
48,0.45023287321341393
49,-1.2620681560507507
50,0.9061753998157696
