Region,Lab_Pop_Count
1,-0.12156485546926302
2,-1.290176616148345
3,-0.22875973221434256
4,0.008517647438245846
5,-0.7644789888130319
6,0.03266844613354004
7,0.2948432138737917
8,-1.3295850406959073
9,0.5112798416053724
10,-0.18468243579404442
11,1.0753384570868216
12,0.9987968648897063
13,0.5393447944862587
14,1.0017103550751094
15,0.7553950763240828
16,1.0992946715919292
17,0.2939310893344083
18,-0.7135009195611308
19,0.43850335607264035
20,0.20390134478600846
21,0.12131964409939097
22,-0.32267229849490126
23,-0.6583643104441105
24,1.336911562758838
25,-0.5023715956340778
26,1.6455845088902448
27,-0.10581145814680394
28,2.4845714087886592
29,1.6087733998337932
30,-1.3651151012522134
31,0.31033972806970883
32,-1.1769992977211954
33,0.8415312402092247
34,-1.0999043441081882
35,-1.3088226805992154
36,-0.19329979667601
37,-0.9929415459811042
38,-0.20473281686069103
39,-0.5576139415253019
40,-1.2646517897784872
41,-1.7698856028678254
42,2.0305618002925003
43,-0.36544272191352634
44,-1.3180117916831977
45,2.1040343395135004
46,-0.2857293736830925
47,-0.5961577620109547
48,-0.266298926182945
49,-1.1196326301762145
50,0.37005558328232097
