Admin_1_Region,Lab_Row_Count,Lab_SW_Count,Rapid_Row_Count,Rapid_SW_Count
1,6.0,11.729821,24.0,37.830807
2,24.0,8.401178999999999,65.0,20.417205
3,63.0,63.319608000000045,188.0,174.49832899999996
4,9.0,4.332841,43.0,16.976166000000013
5,63.0,86.27920099999999,163.0,199.0872970000003
6,23.0,35.70329099999999,52.0,80.18220699999998
7,58.0,101.43972000000004,59.0,107.69624399999992
8,26.0,22.839122000000007,64.0,50.71516199999998
9,35.0,56.25840699999999,102.0,170.36444700000004
10,20.0,31.88128800000001,66.0,101.21516599999987
11,41.0,76.00152599999997,83.0,137.99153900000005
12,72.0,16.051025999999997,222.0,58.679161999999984
13,41.0,38.227190000000014,91.0,94.48808599999983
14,45.0,34.02479199999999,156.0,108.15983400000017
15,19.0,43.22215799999998,32.0,71.32422699999996
16,2.0,3.5319390000000004,7.0,13.010883999999999
17,70.0,42.131361000000005,176.0,131.05742999999998
18,41.0,13.505649999999992,177.0,67.90560899999986
19,55.0,39.70975699999998,194.0,112.47940900000002
