Admin_1_Region,Lab_Row_Count,Lab_SW_Count,Rapid_Row_Count,Rapid_SW_Count
1,4.0,9.435716,7.0,16.398771999999997
2,2.0,2.294105,17.0,21.432035
3,24.0,8.401178999999999,65.0,20.417205
4,16.0,8.613228999999999,65.0,35.33989699999999
5,4.0,11.733184999999999,19.0,46.95829799999999
6,26.0,25.767102999999995,67.0,58.57155200000009
7,17.0,17.206091000000004,37.0,33.62858200000002
8,9.0,4.332841,43.0,16.976166000000013
9,9.0,7.368452999999999,17.0,13.781012999999996
10,0.0,0.0,13.0,14.302754999999998
11,24.0,19.21279699999999,74.0,75.44734399999997
12,30.0,59.69795099999997,59.0,95.55618500000001
13,13.0,20.086890999999998,38.0,57.37768200000001
14,10.0,15.616400000000002,14.0,22.804525000000005
15,25.0,51.25448300000001,41.0,89.14174299999998
16,18.0,30.737755,4.0,5.545733
17,15.0,19.447482000000008,14.0,13.008768
18,4.0,2.065696,8.0,4.3920189999999995
19,22.0,20.773426000000008,56.0,46.323142999999966
20,26.0,41.861946,80.0,136.10336899999987
21,4.0,5.468156,12.0,16.404467999999998
22,5.0,8.928305,10.0,17.85661
23,7.0,10.330025,25.0,41.576515
24,10.0,14.546449000000003,26.0,40.07713800000001
25,3.0,7.0048140000000005,15.0,19.56151300000001
26,22.0,58.97121999999998,42.0,96.57838099999998
27,19.0,17.030306000000003,41.0,41.41315799999998
28,57.0,10.232213000000002,169.0,37.631695000000065
29,15.0,5.8188130000000005,53.0,21.047467000000008
30,2.0,4.233664,24.0,35.121825000000015
31,18.0,16.312566000000007,27.0,24.837777000000013
32,2.0,2.032662,8.0,8.099729
33,19.0,15.648298000000004,32.0,26.428755
34,8.0,5.2120169999999995,21.0,13.117689000000002
35,11.0,12.010337999999997,47.0,41.60157199999998
36,24.0,15.976724999999995,84.0,51.789149
37,2.0,0.825712,4.0,1.651424
38,18.0,42.20653099999998,26.0,65.230465
39,1.0,1.015627,6.0,6.093762000000001
40,2.0,3.5319390000000004,7.0,13.010883999999999
41,2.0,1.392416,6.0,4.201888
42,24.0,16.599187,71.0,52.65198299999996
43,14.0,9.602672,41.0,43.06498400000001
44,8.0,3.5444359999999997,36.0,19.04293699999999
45,22.0,10.992650000000003,22.0,12.095638000000005
46,23.0,8.984955000000003,107.0,46.75497699999995
47,18.0,4.520695000000001,70.0,21.150632000000005
48,23.0,15.170115000000006,102.0,52.14710699999997
49,12.0,9.783478,31.0,25.016573999999988
50,20.0,14.756163999999998,61.0,35.315727999999986
