DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1FIPS,ADM1FIPSNA,ADM1SALBNA,ADM1SALBCO,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,ID_3,NAME_3,VARNAME_3,NL_NAME_3,HASC_3,TYPE_3,ENGTYPE_3,VALIDFR_3,VALIDTO_3,REMARKS_3,Shape_Leng,Shape_Area
SN201200000016,SN,2012.00000000000,16.00000000000,SG,SG01,Dakar,NULL,NULL,1.00000000000,Dakar,2.00000000000,Ouest,CEN,U,14.71504390500,-17.25581007600,9999.00000000000,14.00000000000,WGS84,194,SEN,Senegal,2631,Dakar,31079,Rufisque-Bargny,92465,Sebikotane,,,,Arrondissment,Arrondissement,Unknown,Present,,0.99504628663,0.03285208713
SN201200000017,SN,2012.00000000000,17.00000000000,SG,SG01,Dakar,NULL,NULL,1.00000000000,Dakar,2.00000000000,Ouest,CEN,R,14.79091039600,-17.26908347000,9999.00000000000,21.00000000000,WGS84,194,SEN,Senegal,2631,Dakar,31079,Rufisque-Bargny,92465,Sebikotane,,,,Arrondissment,Arrondissement,Unknown,Present,,0.99504628663,0.03285208713
SN201200000018,SN,2012.00000000000,18.00000000000,SG,SG01,Dakar,NULL,NULL,1.00000000000,Dakar,2.00000000000,Ouest,CEN,R,14.82668814000,-17.15550768400,9999.00000000000,35.00000000000,WGS84,194,SEN,Senegal,2631,Dakar,31079,Rufisque-Bargny,92465,Sebikotane,,,,Arrondissment,Arrondissement,Unknown,Present,,0.99504628663,0.03285208713
SN201200000019,SN,2012.00000000000,19.00000000000,SG,SG01,Dakar,NULL,NULL,1.00000000000,Dakar,2.00000000000,Ouest,CEN,R,14.65280029100,-17.17506835000,9999.00000000000,7.00000000000,WGS84,194,SEN,Senegal,2631,Dakar,31079,Rufisque-Bargny,92465,Sebikotane,,,,Arrondissment,Arrondissement,Unknown,Present,,0.99504628663,0.03285208713
SN201200000020,SN,2012.00000000000,20.00000000000,SG,SG03,Diourbel,NULL,NULL,3.00000000000,Diourbel,3.00000000000,Centre,CEN,R,14.82778501500,-16.40598792400,9999.00000000000,45.00000000000,WGS84,194,SEN,Senegal,2632,Diourbel,31080,Bambey,92467,Lambaye,,,,Arrondissment,Arrondissement,Unknown,Present,,0.79832907546,0.03745984954
SN201200000021,SN,2012.00000000000,21.00000000000,SG,SG03,Diourbel,NULL,NULL,3.00000000000,Diourbel,3.00000000000,Centre,CEN,R,14.70948311700,-16.58124178700,9999.00000000000,18.00000000000,WGS84,194,SEN,Senegal,2632,Diourbel,31080,Bambey,92468,Ngoye,,,,Arrondissment,Arrondissement,Unknown,Present,,1.00783484330,0.04208786988
SN201200000022,SN,2012.00000000000,22.00000000000,SG,SG03,Diourbel,NULL,NULL,3.00000000000,Diourbel,3.00000000000,Centre,CEN,R,14.97867881000,-16.26149159000,9999.00000000000,40.00000000000,WGS84,194,SEN,Senegal,2640,Thi�s,31103,Tivaouane,92546,Niakhene,,,,Arrondissment,Arrondissement,Unknown,Present,,1.63339383993,0.06007282485
SN201200000023,SN,2012.00000000000,23.00000000000,SG,SG03,Diourbel,NULL,NULL,3.00000000000,Diourbel,3.00000000000,Centre,CEN,R,14.68187397800,-16.19276287000,9999.00000000000,23.00000000000,WGS84,194,SEN,Senegal,2632,Diourbel,31081,Diourbel,92470,Ndoulo,,,,Arrondissment,Arrondissement,Unknown,Present,,0.99097803728,0.05459843079
SN201200000024,SN,2012.00000000000,24.00000000000,SG,SG03,Diourbel,NULL,NULL,3.00000000000,Diourbel,3.00000000000,Centre,CEN,U,14.66841020600,-16.22996968000,9999.00000000000,11.00000000000,WGS84,194,SEN,Senegal,2632,Diourbel,31081,Diourbel,92470,Ndoulo,,,,Arrondissment,Arrondissement,Unknown,Present,,0.99097803728,0.05459843079
SN201200000025,SN,2012.00000000000,25.00000000000,SG,SG03,Diourbel,NULL,NULL,3.00000000000,Diourbel,3.00000000000,Centre,CEN,U,14.65512770600,-16.21754342200,9999.00000000000,24.00000000000,WGS84,194,SEN,Senegal,2632,Diourbel,31081,Diourbel,92470,Ndoulo,,,,Arrondissment,Arrondissement,Unknown,Present,,0.99097803728,0.05459843079
