ID_1,DHSCLUST,O_Area_km2,P_Area_km2,Proportion
1,245,340,79,0.2323529411764706
1,110,1414,288,0.2036775106082037
1,115,353,205,0.5807365439093485
1,131,1523,1523,1.0
1,129,871,871,1.0
1,179,1652,216,0.13075060532687652
1,90,267,46,0.17228464419475656
1,203,866,481,0.5554272517321016
1,17,1423,35,0.024595924104005622
1,241,1761,1755,0.9965928449744463
1,338,578,499,0.8633217993079585
1,15,1429,947,0.6627011896431071
1,147,693,136,0.19624819624819625
1,223,712,414,0.5814606741573034
1,230,1182,775,0.6556683587140439
1,79,1041,97,0.09317963496637849
1,80,1123,727,0.647373107747106
2,84,537,537,1.0
2,195,2918,1026,0.35161069225496916
2,240,2626,492,0.18735719725818736
2,270,2139,1998,0.9340813464235624
2,216,1389,1236,0.8898488120950324
2,178,1009,1009,1.0
2,113,1596,4,0.002506265664160401
2,117,1877,2,0.0010655301012253596
2,310,2073,1051,0.5069946936806561
2,215,2876,79,0.027468706536856746
2,170,2251,1519,0.6748111950244335
3,279,186,186,1.0
3,304,263,263,1.0
3,298,297,297,1.0
3,70,530,527,0.9943396226415094
3,111,1289,1289,1.0
3,13,1076,82,0.0762081784386617
3,246,422,422,1.0
3,201,991,991,1.0
3,326,2110,955,0.45260663507109006
3,107,868,425,0.48963133640552997
3,282,932,904,0.9699570815450643
3,220,1938,410,0.21155830753353974
3,196,961,961,1.0
3,14,498,498,1.0
3,103,1434,977,0.6813110181311018
3,36,2043,2,0.0009789525208027412
3,121,51,51,1.0
3,29,499,241,0.48296593186372744
3,122,1622,250,0.15413070283600494
3,185,755,755,1.0
3,336,723,723,1.0
3,104,618,618,1.0
3,57,2165,1872,0.8646651270207852
3,62,422,422,1.0
3,27,2150,1886,0.8772093023255814
3,41,828,828,1.0
3,72,651,651,1.0
3,159,516,516,1.0
3,12,520,520,1.0
3,233,475,475,1.0
3,38,782,782,1.0
3,323,1375,781,0.568
3,191,1171,1171,1.0
3,207,206,206,1.0
3,321,1416,1406,0.9929378531073446
3,53,2098,173,0.08245948522402288
3,119,1067,1067,1.0
3,94,1469,1469,1.0
4,195,2918,234,0.08019191226867718
4,135,794,794,1.0
4,278,3847,3847,1.0
4,331,4772,4772,1.0
4,49,1621,1621,1.0
4,153,2665,2417,0.9069418386491557
4,128,2381,2381,1.0
4,169,1736,1736,1.0
4,144,2228,114,0.05116696588868941
4,198,2942,829,0.28178110129163836
4,190,2539,66,0.02599448601811737
4,215,2876,2150,0.7475660639777468
4,170,2251,733,0.3256330519768992
4,162,2360,917,0.3885593220338983
5,300,435,23,0.052873563218390804
5,222,358,358,1.0
5,44,782,782,1.0
5,34,975,975,1.0
5,163,143,143,1.0
5,235,611,32,0.05237315875613748
5,297,1223,711,0.5813573180703189
5,218,376,376,1.0
5,92,588,588,1.0
5,54,512,512,1.0
5,28,966,966,1.0
5,240,2626,92,0.035034272658035034
5,22,1033,1027,0.9941916747337851
5,270,2139,141,0.06591865357643759
5,216,1389,153,0.1101511879049676
5,148,911,7,0.007683863885839737
5,8,1145,409,0.3572052401746725
5,130,1671,709,0.42429682824655895
5,291,899,899,1.0
5,188,369,369,1.0
5,113,1596,1592,0.9974937343358395
5,10,106,106,1.0
5,257,1570,27,0.017197452229299363
5,117,1877,1605,0.8550879062333511
5,3,811,811,1.0
5,310,2073,1022,0.49300530631934397
5,271,631,493,0.7812995245641838
5,127,1199,1199,1.0
6,208,504,6,0.011904761904761904
6,31,1470,29,0.019727891156462583
6,32,631,4,0.006339144215530904
6,13,1076,16,0.01486988847583643
6,107,868,444,0.511520737327189
6,282,932,27,0.028969957081545063
6,66,579,218,0.3765112262521589
6,69,679,676,0.9955817378497791
6,124,1107,616,0.5564588979223125
6,272,1764,1183,0.6706349206349206
6,348,491,491,1.0
6,29,499,259,0.5190380761523046
6,122,1622,584,0.3600493218249075
6,68,448,448,1.0
6,155,645,600,0.9302325581395349
6,96,1060,136,0.12830188679245283
6,289,709,707,0.997179125528914
6,78,678,451,0.6651917404129793
7,208,504,498,0.9880952380952381
7,123,408,408,1.0
7,32,631,534,0.8462757527733756
7,296,540,540,1.0
7,70,530,4,0.007547169811320755
7,189,1288,427,0.33152173913043476
7,13,1076,978,0.9089219330855018
7,220,1938,63,0.032507739938080496
7,66,579,361,0.6234887737478411
7,73,773,139,0.17981888745148772
7,103,1434,457,0.3186889818688982
7,240,2626,263,0.10015232292460015
7,36,2043,1672,0.8184043073910915
7,130,1671,789,0.47217235188509876
7,351,814,814,1.0
7,332,1151,141,0.12250217202432667
7,180,148,148,1.0
7,33,1557,1274,0.8182402055234426
7,257,1570,1543,0.9828025477707006
7,117,1877,231,0.12306872669152903
7,187,1316,110,0.08358662613981763
7,265,1483,0,0.0
7,100,352,352,1.0
7,182,2091,1575,0.7532281205164992
7,205,1817,0,0.0
7,289,709,2,0.0028208744710860366
7,319,955,27,0.028272251308900525
7,125,1319,1319,1.0
7,325,526,526,1.0
8,7,615,131,0.21300813008130082
8,31,1470,1306,0.8884353741496599
8,349,853,838,0.9824150058616647
8,258,1626,515,0.3167281672816728
8,61,226,226,1.0
8,124,1107,217,0.1960252935862692
8,272,1764,17,0.00963718820861678
8,161,206,17,0.0825242718446602
8,263,1693,910,0.5375073833431778
8,126,1460,943,0.6458904109589041
8,98,3,3,1.0
8,134,107,107,1.0
8,17,1423,27,0.018973998594518624
8,16,2013,54,0.026825633383010434
8,267,778,8,0.010282776349614395
8,64,371,324,0.8733153638814016
8,322,543,7,0.01289134438305709
8,152,1292,1267,0.9806501547987616
8,205,1817,88,0.048431480462300495
8,175,1197,910,0.7602339181286549
8,89,659,34,0.051593323216995446
8,299,495,495,1.0
8,112,562,91,0.1619217081850534
8,254,1575,50,0.031746031746031744
8,83,135,135,1.0
9,232,2003,1327,0.6625062406390414
9,31,1470,44,0.029931972789115645
9,302,5,5,1.0
9,114,14,14,1.0
9,276,2,2,1.0
9,344,4,4,1.0
9,238,1125,1125,1.0
9,97,26,26,1.0
9,260,21,21,1.0
9,55,1,1,1.0
9,313,3,3,1.0
9,228,4,4,1.0
9,337,10,10,1.0
9,136,16,16,1.0
9,116,32,32,1.0
9,21,10,10,1.0
9,224,156,156,1.0
9,194,6,6,1.0
9,110,1414,1126,0.7963224893917963
9,75,687,687,1.0
9,156,9,9,1.0
9,76,3,3,1.0
9,237,2,2,1.0
9,252,4,4,1.0
9,158,1387,1387,1.0
9,272,1764,26,0.01473922902494331
9,160,18,18,1.0
9,261,1046,85,0.08126195028680688
9,168,1706,681,0.399179366940211
9,288,10,10,1.0
9,217,26,26,1.0
9,305,1439,688,0.47810979847116053
9,102,381,381,1.0
9,126,1460,484,0.3315068493150685
9,269,231,231,1.0
9,179,1652,1435,0.8686440677966102
9,264,39,39,1.0
9,284,46,46,1.0
9,329,10,10,1.0
9,203,866,385,0.4445727482678984
9,17,1423,247,0.1735769501054111
9,241,1761,6,0.0034071550255536627
9,16,2013,1686,0.8375558867362146
9,151,18,18,1.0
9,171,427,424,0.9929742388758782
9,335,8,8,1.0
9,142,7,7,1.0
9,229,630,125,0.1984126984126984
9,286,103,103,1.0
9,231,2,2,1.0
9,63,3,3,1.0
9,230,1182,407,0.344331641285956
9,303,204,204,1.0
9,221,19,19,1.0
9,19,27,27,1.0
9,311,2,2,1.0
9,80,1123,79,0.07034728406055209
9,67,249,249,1.0
9,58,3,3,1.0
9,277,5,5,1.0
9,93,9,9,1.0
9,239,16,16,1.0
9,9,11,11,1.0
9,210,4,4,1.0
9,165,3,3,1.0
9,317,9,9,1.0
9,71,106,106,1.0
9,1,1542,0,0.0
10,32,631,93,0.1473851030110935
10,349,853,16,0.01875732708089097
10,69,679,3,0.004418262150220913
10,73,773,635,0.8214747736093143
10,124,1107,274,0.24751580849141824
10,332,1151,1011,0.8783666377063423
10,64,371,47,0.12668463611859837
10,96,1060,924,0.8716981132075472
10,33,1557,283,0.1817597944765575
10,187,1316,1206,0.9164133738601824
10,265,1483,255,0.17194875252865813
10,316,996,124,0.12449799196787148
10,182,2091,392,0.1874701099952176
10,205,1817,1729,0.9515685195376995
10,319,955,865,0.9057591623036649
10,175,1197,22,0.018379281537176273
10,89,659,625,0.9484066767830045
10,254,1575,591,0.37523809523809526
11,226,1764,1764,1.0
